core,depth,upper_age,lower_age,Aulacoseira italica,A.d.cf.laev,Aulacoseira ambigua,Aulacoseira herzogii,A.g.var.angu,A.granul,Discostella stelligera,Cyclotella meneghiniana,Cocconeis placentula,Cymbella 308,Cymbella minor,Cymbella minuta,C.silesiaca,C.gracilis,Eunotia monodon,Eunotia naeglii,Eunotia flexuosa,Eunotia formica,Eunotia minor,Eu.soleirolii,Eu.bilun.var.bi,Eunotia sudetica?,Eunotia flexuosa,Eunotia serra,Eunotia intermedia,Epithemia turgida,E.sorex,E.adnata,Epithemia spp,Diploenis ovalis,Pseudostaurosira elliptica,Pseudostaurosira zeilleri,Pseudostaurosira trainorii,Pseudostaurosirella sp (como pinnata pero mas larga),Staurosira construens,Frag contruens var venter,Staurosirella pinnata,St construens var exigua,Pseudostaurosira brevistriata,Pseudostaurosirella parasitica,Staurosira construens (deformed),Staurosirella cf berolinensis,St leptostauron,St parasitica,P. mimetica,St rhomboides,Stauroneis phoenicenteron,Fragilaria tenera,Tabellaria flocculosa,Gomphosphenia lingulatiformis,Gomphosphenia sp,Gomph gracile,Gomphonema parvulum,Gomphonema aff mexicanum,G.truncatum,G.angustum,Brachysira brebisonii,B.vitrea,Frustulia rhomboides,Craticula riparia,Navicula cryptotenella,Navicula radiosa,Mayamaea sp,N.pseudov,Neidium iridis,Nitzschia amphibia,Nitzschia palea,Orthoseira dendroteres,Orthoseira roeseana,Luticula mutica,Pinnularia borealis,Pinnularia gibba,Pinnularia spp,Pinnularia acrosphaeria,Pinnularia (lg),Pinnularia viridis,P. abaujensis v linearis,Pinnularia maior,Pinnularia brevicostata ?,Achnanthes minutissima,Amphora ovalis,Amphora veneta,Achnanthes lanceolata,Achnanthes spp,Lemnicola hungarica,Navicula spp,Rhopalodia gibba,Gyrosigma acuminatum,Sellaphora alastos
M1,24,196,237,0,0,250,0,0,0,28,0,0,0,0,6,0,0,0,0,0,10,10,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1,26,237,318,0,0,163,0,0,30,44,0,23,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,40,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1,30,318,339,0,0,254,0,0,0,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
M1,34,339,358,0,0,105,0,0,0,102,0,0,2,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,41,0,0,13,20,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1,38,358,376,0,0,149,0,0,0,59,0,0,0,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,0,0,0,0,0,0,43,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1,42,376,395,0,0,150,0,0,0,70,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,2,0,0,0,0,0,28,0,0,18,22,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1,46,395,412,0,0,142,0,0,0,80,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,1,0,0,0,0,0,42,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1,50,412,454,0,0,217,0,0,0,43,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,3,1,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1,60,454,492,0,0,95,0,0,0,90,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,2,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1,70,492,525,0,0,128,0,0,0,42,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,2,2,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
