depth,upper_age,lower_age,Acalypha,Cecropia,Alchornea,Urticaceae,Quercus,Podocarpus,Hediosmum,Weinmannia,Melastomataceae,Vallea,Eugenia,Ilex,Daphnopsis,Drimys,Gaiadendron,Juglans,Myrsine,Myrtaceae,Styloceras,Symplocos,Dodoneae,Myrica,Alnus,Asteraceae tub.,Asteraceae lig.,Aceana/Polylepis,Ericaceae,Hypericum,Poaceae,Aragoa,Geranium,Valeriana,Gentiana,Plantago,Lycopodium foveolaat,Cyperaceae,Polygonum,Potamogeton,Puya,Ranunculaceae,Rumex,Satureja,Thalictrum,Typha,Hydrocotyle,Myriophyllum,Isoetes,Althenanthera,Amphistrema,Anacardiaceae,Antidaphne,Apiaceae,Araliaceae,Bombacaceae,Boraginaceae,Borreria,Bromeliaceae,Cactaceae,Calandrinia,Caryophyllaceae,Chenopodiaceae,Clethra,Clusia,Croton bogotensis,Cruciferae,Euphorbiaceae,Eriocaulaceae,Flacourtiaceae,Gunnera,Hieronima,Labiaat,Lachemilla,Leguminoseae,Loranthaceae,Lupinus,Lysipomia,Malphigiaceae,Malvaceae,Mimosaceae,Onagraceae,Palmae,Passiflora,Polygalaceae,Portulaceae,Proteaceae,Relbunium,Rosaceae,Rubiaceae,Salix,Sapium,Solanaceae,Tournefourtia-type,Viburnum,Cyatheaceae,Elaphoglossum,Hemitalia,Anthoceras,Hymnophyllum myriocarpum type,Jamesonia,Lycopodium reticulate,Lycopodium curvatum,Lophosoria,Monoleet psilaat,Monoleet verucate,Ophioglossum,Phaeceros,Pilularia,Selaginella,Sphagnum,Triletes,Fungi,Botryococcus,Pediastrum,Zygnemataceae,Lycopodia,volume,Tablets,Lycopadia/tablet,influxfactor,
555,17595.1,17804.2,0,0,2,9,13,10,6,1,7,0,0,0,0,0,0,0,5,0,0,0,2,2,28,25,0,11,1,4,210,0,0,0,1,0,0,53,2,2,0,0,4,26,1,0,41,72,3,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,273,134,0,164,1.0,2,13911,169.65,
560,17804.2,18016.9,0,0,3,6,18,11,6,2,4,0,0,0,0,0,0,0,2,0,1,0,1,2,31,17,0,7,0,2,210,0,0,0,0,0,0,49,2,0,0,0,2,12,0,0,45,80,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,13,250,194,0,114,1.5,2,13911,162.70,
565,18016.9,18239.9,0,0,3,6,28,10,8,2,7,0,0,0,0,0,0,0,0,0,0,0,1,2,26,33,0,15,1,0,202,0,0,0,1,0,0,62,2,0,0,0,7,25,0,0,63,111,7,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,20,0,0,1,0,0,0,0,0,24,0,0,0,0,0,0,0,27,426,57,0,287,2.0,2,13911,48.47,
570,18239.9,18459.1,0,0,3,3,25,13,4,2,4,0,1,0,0,0,0,0,2,0,0,0,1,1,22,28,0,14,0,0,210,0,0,0,1,0,0,33,2,0,0,0,3,18,1,0,37,41,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,22,236,5,0,221,2.0,2,13911,62.95,
575,18459.1,18678.3,0,0,1,2,20,15,3,2,1,0,0,0,0,0,1,0,2,0,0,0,1,3,31,35,0,27,0,0,182,0,0,0,0,0,0,44,3,0,0,0,5,19,2,0,30,57,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,58,98,18,0,510,1.0,2,13911,54.55,
580,18678.3,19342.1,0,0,1,3,19,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,17,21,0,17,0,0,85,0,0,0,0,0,0,44,4,0,0,1,4,4,0,0,48,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,34,2,0,0,0,0,0,0,62,527,3,0,216,2.5,2,13911,51.52,
595,19342.1,19781.7,0,0,5,1,24,14,3,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,23,23,0,23,0,1,227,0,0,0,0,0,1,29,0,0,0,2,4,6,1,0,52,62,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,9,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,40,322,17,0,373,2.0,2,13911,37.29,
605,19781.7,20010.8,0,0,6,3,23,7,0,0,0,1,0,0,0,0,0,2,4,0,0,0,1,0,10,21,0,18,0,0,215,0,0,0,0,0,1,49,0,1,0,0,0,11,0,0,47,107,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,82,680,34,0,165,2.0,2,13911,84.31,
610,20010.8,20224.6,0,0,3,2,11,11,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,4,11,0,12,0,0,225,0,0,0,0,0,0,89,0,4,0,0,4,7,0,0,38,126,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,34,1,0,0,0,0,0,0,39,515,32,0,159,2.1,2,13911,85.36,
615,20224.6,20438.9,0,0,2,1,15,11,4,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,18,24,0,23,2,0,210,0,0,0,0,0,0,96,0,4,0,1,1,8,0,0,57,145,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,31,341,56,0,221,2.0,2,13911,62.95,
620,20438.9,20669.0,0,0,3,2,9,20,4,0,1,0,0,0,0,0,0,0,2,0,0,0,1,2,16,25,0,18,1,0,221,0,0,1,0,0,1,94,0,0,0,2,4,12,0,0,36,91,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,6,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,22,425,24,0,436,1.5,2,13911,42.54,
625,20669.0,20894.3,0,0,2,0,26,7,4,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,28,0,21,0,1,222,0,0,0,0,0,0,268,0,0,0,2,11,5,0,0,72,114,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,54,343,93,0,175,2.0,2,13911,79.49,
630,20894.3,21114.3,0,0,3,0,17,3,4,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,15,29,0,16,0,0,147,0,0,0,0,0,0,63,0,0,0,4,5,3,0,0,80,205,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,49,1,0,0,0,0,0,0,77,507,171,0,105,3.0,2,13911,88.32,
635,21114.3,21327.5,0,0,4,0,7,1,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,46,0,11,0,0,235,0,0,0,0,0,1,74,0,1,0,0,0,12,0,0,24,89,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,81,149,10,0,88,3.0,2,13911,105.39,
640,21327.5,21540.1,0,0,3,1,11,0,3,0,3,0,0,0,0,0,0,0,1,0,1,0,1,0,4,33,0,14,0,0,246,0,0,0,0,0,0,15,0,1,0,0,3,11,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,44,195,4,0,64,2.0,2,13911,217.36,
645,21540.1,21739.1,0,0,0,0,9,4,1,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,7,31,0,5,0,0,258,0,0,1,0,0,1,18,0,0,0,0,5,12,0,0,13,72,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,79,223,25,0,208,2.0,2,13911,66.88,
650,21739.1,22985.0,0,0,0,17,16,7,8,0,3,0,0,0,0,0,0,0,0,1,0,0,2,1,15,13,0,12,0,0,150,0,0,0,0,0,1,91,0,5,0,0,11,9,0,3,19,70,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,2,0,0,0,0,1,0,0,0,12,0,2,0,0,0,0,0,111,133,121,0,78,3.5,2,13911,101.91,
680,22985.0,23189.9,0,0,3,0,28,8,0,0,2,1,2,0,3,0,0,0,4,0,0,0,0,0,19,28,0,8,0,0,228,0,0,1,0,0,0,61,3,1,0,1,10,19,0,0,50,118,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,6,0,0,0,0,0,0,0,0,45,1,0,0,0,0,0,0,36,680,91,0,232,1.5,2,13911,79.95,
685,23189.9,23610.4,0,0,2,0,29,7,4,0,1,0,0,0,0,0,1,0,4,0,1,0,0,0,16,28,0,12,1,1,208,0,0,0,0,0,0,66,1,2,0,0,8,14,0,0,48,73,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,5,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,85,510,75,0,154,3.0,2,13911,60.22,
695,23610.4,,1,0,4,0,17,4,1,1,2,0,0,0,1,0,0,0,3,0,0,0,0,1,12,21,0,16,0,1,240,0,0,0,1,0,0,72,1,3,0,0,4,11,0,0,40,86,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,84,453,63,0,140,2.5,2,13911,79.49,
