"","depth","upper_age","lower_age","Pinnularia borealis","Nitzschia palea","Gomphosphenia sp","Aulacoseira italica","Eunotia cf sudetica","Pinnularia aff breviscostata","Pinnularia acrosphaeria","Gomphonema parvulum","Eunotia intermedia","Pinnularia abaujensis var linearis","Gomphonema aff mexicanum","Stauroneis phoenicenteron","Achnanthes lanceolata","Pinnularia viridis","Luticula mutica","Eunotia formica","Encyonema minutum","Orthoseira roeseana","Neidium iridis","Frustulia rhomboides","Brachysira vitrea","Eunotia naeglii","Aulacoseira granulata var. angustissima","Eunotia serra","Gomphonema truncatum","Eunotia monodon","Eunotia bilunaris","Aulacoseira granulata","Pinnularia maior","Tabellaria flocculosa","Rhopalodia gibba","Achnanthidium minutissimum","Gomphonema gracile","Navicula spp","Cymbella gracilis","Eunotia flexuosa","Fragilaria tenera","Navicula radiosa","Pinnularia spp","Pinnularia gibba","Craticula riparia","Navicula cryptotenella","Amphora ovalis","Eunotia soleirolii","Cymbella silesiacum","Gomphonema angustum","Mayamaea sp","Nitzschia amphibia","Gomphosphenia lingulatiformis","Cyclotella meneghiniana","Brachysira brebisonii","Cocconeis placentula","Cymbella minor","Epithemia turgida","Eunotia minor","Aulacoseira cf laevis","Discostella stelligera","Aulacoseira ambigua","Small Fragilarioids"
"20",447,8530,8690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,3,3,6,0,0,0,0,0,0,0,0,0,11,12,25,1,0,0,1,0,4,17,0,0,0,360,64
"21",458,8690,8810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,8,6,7,0,0,0,0,0,0,0,0,0,8,23,89,9,0,0,4,0,31,10,0,0,0,237,95
"22",466,8810,9045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,10,6,2,0,0,0,0,0,0,0,0,0,7,29,21,12,0,0,2,0,29,25,0,0,0,235,106
"23",479,9045,10820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,23,13,8,9,0,0,0,0,0,0,0,0,0,11,14,73,11,0,0,11,0,52,12,0,0,5,188,116
"24",499,10820,12385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,10,7,1,0,0,0,0,0,0,0,0,1,10,16,55,7,0,0,7,1,14,11,0,0,0,323,50
"25",506,12385,14580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,5,6,0,1,1,0,0,0,0,0,0,0,0,0,1,6,0,3,0,0,0,3,1,1,0,0,0,71,483
"26",516,14580,16105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,2,7,1,0,0,0,0,0,0,0,0,4,3,16,0,0,0,0,0,11,2,0,0,0,9,509
"27",529,16105,17360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,2,1,0,19,3,1,0,0,14,0,0,0,0,0,1,11,5,0,1,0,0,0,36,0,32,0,0,1,14,347
"28",549,17360,17640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,5,3,1,2,0,4,0,0,0,0,0,0,9,1,14,1,0,0,0,34,0,0,0,4,2,17,599
"29",556,17640,17763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,1,0,1,0,2,0,0,0,0,0,1,2,0,12,0,0,0,0,2,8,0,0,4,1,6,661
"30",559,17763,18200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,3,5,0,0,0,0,0,0,0,0,2,2,0,8,0,0,0,0,0,0,0,0,0,0,10,837
"31",569,18200,19830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,9,0,0,9,14,2,0,0,6,0,0,0,0,0,6,1,0,44,1,0,0,3,0,0,0,0,0,0,3,580
"32",606,19830,20265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,21,0,1,8,8,1,0,0,4,0,0,0,0,0,6,0,0,17,0,0,0,7,0,0,0,0,0,1,6,675
"33",616,20265,22945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,19,0,0,5,7,1,0,0,0,0,0,0,0,0,11,1,0,31,0,0,0,7,0,0,0,0,0,0,8,671
"34",679,22945,23730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,3,3,0,0,0,0,0,0,0,0,0,0,1,6,694
"35",698,23730,33244.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,6,2,0,29,0,0,0,0,0,0,0,0,0,0,8,703
"36",429,38516.34,43745.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,4,6,0,0,0,0,259
"37",549,43745.1,62468.68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,9,1,0,0,17,7,28,0,19,0,150,225
"38",979,62468.68,64628.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,26,2,16,0,2,0,43,314
"39",1029,64628.51,67652.27,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,31,0,0,23,37,20,0,2,0,3,235
"40",1099,67652.27,69812.1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,23,0,0,5,0,0,0,7,0,0,15,14,16,0,0,0,0,143
