Country;Site_Name;Latitude;Longitude;C14_date;Error;Lab_Number;Material_Dated;Reference;Full Reference;
Chile;Punta Guasilla-1;-22,42447;-70,243166;4730;180;Beta-3121;charcoal;Gayo et al 2015;Gayo, E. M., Latorre, C., & Santoro, C. M. (2015). Timing of occupation and regional settlement patterns revealed by time-series analyses of an archaeological radiocarbon database for the South-Central Andes (16-25S). Quaternary International, 356, 4-14.;
Chile;Punta Morada;-24,980315;-70,426974;3610;70;Beta-175456;shell;Gayo et al 2015;Gayo, E. M., Latorre, C., & Santoro, C. M. (2015). Timing of occupation and regional settlement patterns revealed by time-series analyses of an archaeological radiocarbon database for the South-Central Andes (16-25S). Quaternary International, 356, 4-14.;
Chile;Punta Morada;-24,980315;-70,426974;4070;70;Beta-175457;shell;Gayo et al 2015;Gayo, E. M., Latorre, C., & Santoro, C. M. (2015). Timing of occupation and regional settlement patterns revealed by time-series analyses of an archaeological radiocarbon database for the South-Central Andes (16-25S). Quaternary International, 356, 4-14.;
Chile;Punta Morada;-24,980315;-70,426974;4710;60;Beta-175454;shell;Gayo et al 2015;Gayo, E. M., Latorre, C., & Santoro, C. M. (2015). Timing of occupation and regional settlement patterns revealed by time-series analyses of an archaeological radiocarbon database for the South-Central Andes (16-25S). Quaternary International, 356, 4-14.;
Chile;Punta Nague;-32,084944;-71,46476;3160;50;Beta 137025;charcoal;Artigas 2003;Artigas, D. (2003). Descifrando la superficie: recoleccion superficial e intervencion estratigrafica en un sitio Arcaico de la costa de Los Vilos. Boletin de la Sociedad Chilena de Arqueologia, 35-36, 9-27.;
Chile;Punta Nague;-32,084944;-71,46476;9160;40;Beta - 341872;charcoal;Bearez et al 2015;Bearez, P., Jackson, D., & Mollaret, N. (2015). Early Archaic fishing (12,600-9,200 cal yr BP) in the semiarid north coast of Chile. Journal of Island & Coastal Archaeology, 10, 133-148.;
Chile;Punta Nague;-32,084944;-71,46476;9730;60;Beta-94101;shell;Bearez et al 2015;Bearez, P., Jackson, D., & Mollaret, N. (2015). Early Archaic fishing (12,600-9,200 cal yr BP) in the semiarid north coast of Chile. Journal of Island & Coastal Archaeology, 10, 133-148.;
Chile;Punta Nague;-32,084944;-71,46476;10120;80;Beta-55279;shell;Bearez et al 2015;Bearez, P., Jackson, D., & Mollaret, N. (2015). Early Archaic fishing (12,600-9,200 cal yr BP) in the semiarid north coast of Chile. Journal of Island & Coastal Archaeology, 10, 133-148.;
Chile;Punta Nague;-32,084944;-71,46476;10200;70;Beta-106802;shell;Bearez et al 2015;Bearez, P., Jackson, D., & Mollaret, N. (2015). Early Archaic fishing (12,600-9,200 cal yr BP) in the semiarid north coast of Chile. Journal of Island & Coastal Archaeology, 10, 133-148.;
Chile;Punta Nague;-32,084944;-71,46476;10550;50;OS - 68056;charcoal;Bearez et al 2015;Bearez, P., Jackson, D., & Mollaret, N. (2015). Early Archaic fishing (12,600-9,200 cal yr BP) in the semiarid north coast of Chile. Journal of Island & Coastal Archaeology, 10, 133-148.;
Chile;Punta Nague;-32,084944;-71,46476;10600;70;Beta - 106802;shell;Bearez et al 2015;Bearez, P., Jackson, D., & Mollaret, N. (2015). Early Archaic fishing (12,600-9,200 cal yr BP) in the semiarid north coast of Chile. Journal of Island & Coastal Archaeology, 10, 133-148.;
Chile;Punta Nague;-32,084944;-71,46476;11100;80;NSRL - 11082;shell;Bearez et al 2015;Bearez, P., Jackson, D., & Mollaret, N. (2015). Early Archaic fishing (12,600-9,200 cal yr BP) in the semiarid north coast of Chile. Journal of Island & Coastal Archaeology, 10, 133-148.;
