Country;Site_Name;Latitude;Longitude;C14_date;Error;Lab_Number;Material_Dated;Reference;Full Reference;
Chile;Quebrada Mani;-21,055629;-69,335666;10340;30;UGAMS 8243;wood;Latorre et al 2013;Latorre, C., Santoro, C. M., Ugalde, P. C., Gayo, E. M., Osorio, D., Salas-Egana, C., Pol-Holz, R. D., Joly, D., & Rech, J. A. (2013). Late Pleistocene human occupation of the hyperarid cone in the Atacama Desert, northern Chile. Quaternary Science Reviews, 77, 19-30.;
Chile;Quebrada Mani;-21,055629;-69,335666;10360;30;UCIAMS 89022;dung;Latorre et al 2013;Latorre, C., Santoro, C. M., Ugalde, P. C., Gayo, E. M., Osorio, D., Salas-Egana, C., Pol-Holz, R. D., Joly, D., & Rech, J. A. (2013). Late Pleistocene human occupation of the hyperarid cone in the Atacama Desert, northern Chile. Quaternary Science Reviews, 77, 19-30.;
Chile;Quebrada Mani;-21,055629;-69,335666;10365;25;UCIAMS 84347;charcoal;Latorre et al 2013;Latorre, C., Santoro, C. M., Ugalde, P. C., Gayo, E. M., Osorio, D., Salas-Egana, C., Pol-Holz, R. D., Joly, D., & Rech, J. A. (2013). Late Pleistocene human occupation of the hyperarid cone in the Atacama Desert, northern Chile. Quaternary Science Reviews, 77, 19-30.;
Chile;Quebrada Mani;-21,055629;-69,335666;10390;30;UGAMS 7048;charcoal;Latorre et al 2013;Latorre, C., Santoro, C. M., Ugalde, P. C., Gayo, E. M., Osorio, D., Salas-Egana, C., Pol-Holz, R. D., Joly, D., & Rech, J. A. (2013). Late Pleistocene human occupation of the hyperarid cone in the Atacama Desert, northern Chile. Quaternary Science Reviews, 77, 19-30.;
Chile;Quebrada Mani;-21,055629;-69,335666;10505;25;UCIAMS 89019;plant;Latorre et al 2013;Latorre, C., Santoro, C. M., Ugalde, P. C., Gayo, E. M., Osorio, D., Salas-Egana, C., Pol-Holz, R. D., Joly, D., & Rech, J. A. (2013). Late Pleistocene human occupation of the hyperarid cone in the Atacama Desert, northern Chile. Quaternary Science Reviews, 77, 19-30.;
Chile;Quebrada Mani;-21,055629;-69,335666;10800;30;UGAMS 7049;charcoal;Latorre et al 2013;Latorre, C., Santoro, C. M., Ugalde, P. C., Gayo, E. M., Osorio, D., Salas-Egana, C., Pol-Holz, R. D., Joly, D., & Rech, J. A. (2013). Late Pleistocene human occupation of the hyperarid cone in the Atacama Desert, northern Chile. Quaternary Science Reviews, 77, 19-30.;
Chile;Quebrada Mani;-21,055629;-69,335666;10930;30;UCIAMS 89018;charcoal;Latorre et al 2013;Latorre, C., Santoro, C. M., Ugalde, P. C., Gayo, E. M., Osorio, D., Salas-Egana, C., Pol-Holz, R. D., Joly, D., & Rech, J. A. (2013). Late Pleistocene human occupation of the hyperarid cone in the Atacama Desert, northern Chile. Quaternary Science Reviews, 77, 19-30.;
Chile;Quebrada Mani;-21,055629;-69,335666;11525;35;UCIAMS 84340;plant;Latorre et al 2013;Latorre, C., Santoro, C. M., Ugalde, P. C., Gayo, E. M., Osorio, D., Salas-Egana, C., Pol-Holz, R. D., Joly, D., & Rech, J. A. (2013). Late Pleistocene human occupation of the hyperarid cone in the Atacama Desert, northern Chile. Quaternary Science Reviews, 77, 19-30.;
Chile;Quebrada Mani;-21,055629;-69,335666;12420;35;UCIAMS 84346;charcoal;Latorre et al 2013;Latorre, C., Santoro, C. M., Ugalde, P. C., Gayo, E. M., Osorio, D., Salas-Egana, C., Pol-Holz, R. D., Joly, D., & Rech, J. A. (2013). Late Pleistocene human occupation of the hyperarid cone in the Atacama Desert, northern Chile. Quaternary Science Reviews, 77, 19-30.;
Chile;Quebrada Mani;-21,055629;-69,335666;13190;35;CAMS 131272;plant;Latorre et al 2013;Latorre, C., Santoro, C. M., Ugalde, P. C., Gayo, E. M., Osorio, D., Salas-Egana, C., Pol-Holz, R. D., Joly, D., & Rech, J. A. (2013). Late Pleistocene human occupation of the hyperarid cone in the Atacama Desert, northern Chile. Quaternary Science Reviews, 77, 19-30.;
