old;new_1;new_2_groups;new_3_fragilarioids;group;Cell_size;Life_form;Attachment
St rhomboides;Staurosirella rhomboides;Staurosirella rhomboides;Small Fragilarioids;non-motile tychoplanktonic;micro;Colonial;unattached
Stauroneis phoenicenteron;Stauroneis phoenicenteron;Stauroneis phoenicenteron;Stauroneis phoenicenteron;non-motile tychoplanktonic;very_large;Sol_elongated;Prostrate
Fragilaria tenera;Fragilaria tenera;Fragilaria tenera;Fragilaria tenera;non-motile tychoplanktonic;nano;pseudofilamentous;Mucilage_tubes
Tabellaria flocculosa;Tabellaria flocculosa;Tabellaria flocculosa;Tabellaria flocculosa;non-motile tychoplanktonic;very_large;pseudofilamentous;unattached
Gomphosphenia lingulatiformis;Gomphosphenia lingulatiformis;Gomphosphenia lingulatiformis;Gomphosphenia lingulatiformis;Slightly_weakly_mod motile ;micro;Colonial;PadStalks
Gomphosphenia sp;Gomphosphenia sp;Gomphosphenia sp;Gomphosphenia sp;Slightly_weakly_mod motile ;micro;Colonial;PadStalks
Gomph gracile;Gomphonema gracile;Gomphonema gracile;Gomphonema gracile;Slightly_weakly_mod motile ;macro;Sol_elongated;PadStalks
Gomphonema parvulum;Gomphonema parvulum;Gomphonema parvulum;Gomphonema parvulum;Slightly_weakly_mod motile ;micro;Colonial;PadStalks
Gomphonema aff mexicanum;Gomphonema aff mexicanum;Gomphonema aff mexicanum;Gomphonema aff mexicanum;Slightly_weakly_mod motile ;very_large;Sol_elongated;PadStalks
G.truncatum;Gomphonema truncatum;Gomphonema truncatum;Gomphonema truncatum;Slightly_weakly_mod motile ;macro;Sol_elongated;PadStalks
G.angustum;Gomphonema angustum;Gomphonema angustum;Gomphonema angustum;Slightly_weakly_mod motile ;macro;Sol_elongated;PadStalks
Brachysira brebisonii;Brachysira brebisonii;Brachysira brebisonii;Brachysira brebisonii;Slightly_weakly_mod motile ;meso;Solitary;unattached
B.vitrea;Brachysira vitrea;Brachysira vitrea;Brachysira vitrea;Slightly_weakly_mod motile ;micro;Solitary;unattached
Frustulia rhomboides;Frustulia rhomboides;Frustulia rhomboides;Frustulia rhomboides;Slightly_weakly_mod motile ;micro;Sol_elongated;PadStalks
Craticula riparia;Craticula riparia;Craticula riparia;Craticula riparia;highly motile;meso;Solitary;unattached
Navicula cryptotenella;Navicula cryptotenella;Navicula cryptotenella;Navicula cryptotenella;Slightly_weakly_mod motile ;micro;Sol_elongated;unattached
Navicula radiosa;Navicula radiosa;Navicula radiosa;Navicula radiosa;Slightly_weakly_mod motile ;very_large;Sol_elongated;unattached
Mayamaea sp;Mayamaea sp;Mayamaea sp;Mayamaea sp;Slightly_weakly_mod motile ;micro;Sol_elongated;unattached
N.pseudov;Navicula spp;Navicula spp;Navicula spp;Slightly_weakly_mod motile ;micro;Sol_elongated;unattached
Neidium iridis;Neidium iridis;Neidium iridis;Neidium iridis;Slightly_weakly_mod motile ;micro;Sol_elongated;unattached
Nitzschia amphibia;Nitzschia amphibia;Nitzschia amphibia;Nitzschia amphibia;Slightly_weakly_mod motile ;meso;Sol_elongated;Postrate
Nitzschia palea;Nitzschia palea;Nitzschia palea;Nitzschia palea;Slightly_weakly_mod motile ;nano;Sol_elongated;Postrate
Orthoseira dendroteres;Orthoseira dendroteres;Orthoseira dendroteres;Orthoseira dendroteres;Slightly_weakly_mod motile ;very_large;pseudofilamentous;unattached
Orthoseira roeseana;Orthoseira roeseana;Orthoseira roeseana;Orthoseira roeseana;non-motile planktonic;very_large;pseudofilamentous;unattached
Luticula mutica;Luticula mutica;Luticula mutica;Luticula mutica;Slightly_weakly_mod motile ;micro;Sol_elongated;unattached
Pinnularia borealis;Pinnularia borealis;Pinnularia borealis;Pinnularia borealis;Slightly_weakly_mod motile ;very_large;Sol_elongated;unattached
Pinnularia gibba;Pinnularia gibba;Pinnularia gibba;Pinnularia gibba;Slightly_weakly_mod motile ;very_large;Sol_elongated;unattached
Pinnularia spp;Pinnularia spp;Pinnularia spp;Pinnularia spp;Slightly_weakly_mod motile ;very_large;Sol_elongated;unattached
Pinnularia acrosphaeria;Pinnularia acrosphaeria;Pinnularia acrosphaeria;Pinnularia acrosphaeria;Slightly_weakly_mod motile ;very_large;Sol_elongated;unattached
Pinnularia (lg);Pinnularia spp;Pinnularia spp;Pinnularia spp;Slightly_weakly_mod motile ;very_large;Sol_elongated;unattached
Pinnularia viridis;Pinnularia viridis;Pinnularia viridis;Pinnularia viridis;Slightly_weakly_mod motile ;very_large;Sol_elongated;unattached
P. abaujensis v linearis;Pinnularia abaujensis var linearis;Pinnularia abaujensis var linearis;Pinnularia abaujensis var linearis;Slightly_weakly_mod motile ;very_large;Sol_elongated;unattached
Pinnularia maior;Pinnularia maior;Pinnularia maior;Pinnularia maior;Slightly_weakly_mod motile ;very_large;Sol_elongated;unattached
