"age (kyr BP)","mat","pann","ai"
0.107,8.71771771771772,1215.61561561562,1.0462962962963
0.369,12.4174174174174,1211.01101101101,0.998148148148148
0.621,12.1531531531532,1197.1971971972,0.996296296296296
0.878,13.4414414414414,1367.56756756757,1.03518518518519
1.14,13.4744744744745,1362.96296296296,1.07592592592593
1.423,13.5735735735736,1330.73073073073,1.08518518518519
1.692,14.8948948948949,1560.96096096096,1.11481481481481
1.945,14.9279279279279,1726.72672672673,1.14259259259259
2.209,13.9039039039039,1496.4964964965,1.12222222222222
2.473,14.6966966966967,1381.38138138138,1.08333333333333
2.736,13.012012012012,1390.59059059059,1.10740740740741
3,15.4564564564565,1685.28528528529,1.18518518518519
3.267,17.2402402402402,1956.95695695696,1.21111111111111
3.538,16.1831831831832,1846.44644644645,1.1962962962963
3.797,14.8288288288288,1933.93393393393,1.21111111111111
4.068,16.2492492492492,1956.95695695696,1.21111111111111
4.328,14.0690690690691,1556.35635635636,1.21111111111111
4.583,14.6966966966967,1952.35235235235,1.22037037037037
4.857,13.3753753753754,1459.65965965966,1.17222222222222
5.114,12.7807807807808,1372.17217217217,1.07962962962963
5.385,13.4744744744745,1473.47347347347,1.20185185185185
5.659,14.3333333333333,1657.65765765766,1.2
5.92,12.3183183183183,1280.08008008008,1.07222222222222
6.182,13.1771771771772,1938.53853853854,1.22037037037037
6.441,13.8048048048048,1450.45045045045,1.2
6.712,14.6966966966967,1883.28328328328,1.20740740740741
7,16.3813813813814,1970.77077077077,1.21481481481481
7.312,14.3003003003003,1611.61161161161,1.18888888888889
7.624,13.5735735735736,1335.33533533534,1.07037037037037
7.954,12.9129129129129,1376.77677677678,1.20185185185185
8.257,14.2342342342342,1450.45045045045,1.10185185185185
8.58,14.2342342342342,1565.56556556557,1.12777777777778
8.981,14.3003003003003,1303.1031031031,1.07037037037037
9.408,13.2432432432432,1316.91691691692,1.08148148148148
9.836,13.6066066066066,1358.35835835836,1.08148148148148
10.285,12.8468468468468,1243.24324324324,1.02777777777778
10.715,13.4084084084084,1312.31231231231,1.05555555555556
11.305,12.9459459459459,1192.59259259259,1
12.166,13.3423423423423,1266.26626626627,1.02407407407407
12.794,11.6576576576577,1206.40640640641,1.02222222222222
12.93,13.7387387387387,1312.31231231231,1.03148148148148
13.303,12.7147147147147,1289.28928928929,1.03888888888889
13.713,11.2612612612613,1215.61561561562,1.02222222222222
14.166,12.3513513513514,1335.33533533534,1.05555555555556
14.586,14.3663663663664,1432.03203203203,1.0537037037037
15.002,11.3603603603604,1270.87087087087,1.03888888888889
15.432,12.6486486486486,1372.17217217217,1.07592592592593
15.87,12.7147147147147,1270.87087087087,1.03148148148148
16.824,11.3603603603604,1201.8018018018,1.00925925925926
18.208,11.7567567567568,1137.33733733734,0.996296296296296
18.996,10.006006006006,1151.15115115115,1
19.373,9.90690690690691,1201.8018018018,1.01666666666667
19.745,9.70870870870871,1247.84784784785,1.04814814814815
20.117,10.3033033033033,1215.61561561562,1.03888888888889
20.485,10.2372372372372,1086.68668668669,0.972222222222222
20.869,10.3693693693694,1187.98798798799,1.02222222222222
21.249,9.60960960960961,1197.1971971972,1.03888888888889
21.637,10.3363363363363,1234.03403403403,1.03703703703704
22.042,12.4174174174174,1045.24524524525,0.957407407407407
22.591,12.5495495495495,1169.56956956957,1.00555555555556
22.988,12.2192192192192,1307.70770770771,1.05185185185185
