Site_Name;Region;Latitude;Longitude;C14_date;Error;Lab_Number;Material_Dated;Full Reference;;;;;;;;;;;;;;;;;;
Gruta de El Manzano;Pat ;-36,15;-69,7666;7330;150;GaK 7529;charcoal;Prates, L., Politis, G., Steele, J. (2013). Radiocarbon chronology of the early human occupation of Argentina. 301, 104-122.;;;;;;;;;;;;;;;;;;
La Olla 1;Pampas;-38,989567;-61,351067;7315;55;AA-7972;Bone;Blasi, A., Politis, G., Bayon, C. (2013). Palaeoenvironmental reconstruction of La Olla, a Holocene archaeological site in the Pampean coast (Argentina). Journal of Archaeological Science, 40, 1554-1567.;;;;;;;;;;;;;;;;;;
Cueva Traful 1;Pat ;-26,0833;-67,4166;7308;285;LP-8113;charcoal;Crivelli Montero, E., Curzio, D., Silveira, M. 1993. La estratigrafía de la Cueva Traful 1 (provincia del Neuquén). Praehistoria 1: 9-60.;;;;;;;;;;;;;;;;;;
Alero Cárdenas;Pat ;-47,164766;-70,629837;7300;200;AC 499;charcoal;Orquera, L. A. (1987). Advances in the archaeology of the Pampa and Patagonia. Advances in Word Archaeology. Comp Wendorf, F. Close, A. Volume 6. Academic Press, Princeton.;;;;;;;;;;;;;;;;;;
ARQ 18;S. Andes;-29,403488;-69,928869;7300;90;LP 1857;charcoal;Cortegoso, V., Duran V., Castro, S., Winocur, D. (2012). Disponibilidad de recursos liticos y explotacion humana de la divisoria andina. Valle del rio de Las Taguas, San Juan, Argentina. Chungara. Revista de Anthropologia Chilena, 44, 59-72.;;;;;;;;;;;;;;;;;;
Cueva de las Manos;Pat ;-47,15;-70,75;7280;60;NOVA 117;charcoal;Gradin, C., Aschero, C. & Aguerre, A. (1976) Investigaciones arqueológicas en la Cueva de las Manos, Estancia Alto Río Pinturas (Santa Cruz). Relaciones de la Sociedad Argentina de Antropología X, 201-250.;;;;;;;;;;;;;;;;;;
La Tigra;Pampas;-38,234667;-58,10593;7270;60;CAMS-16173;bone;Martinez, G., Prates, L., Flensborg, G., Stoessel, L., Alcaraz, A. P., Bayala, P. (2015). Radiocarbon trends in the Pampean region (Argentina). Biases and demographic patterns during the final Late Pleistocene and Holocene. Quaternary International, 356, 89-110.;;;;;;;;;;;;;;;;;;
Peñas de las Trampas 1.1;S. Andes;-26,0175;-67,35;7270;40;UGA-9072;charcoal;Prates, L., Politis, G., Steele, J. (2013). Radiocarbon chronology of the early human occupation of Argentina. 301, 104-122.;;;;;;;;;;;;;;;;;;
Quebrada Seca 3;S. Andes;-26,0833;-67,4166;7270;40;UGA 9072;plant;Aschero, C. A., Martinez, J. (2001). Tecnicas de caza en Antofagasta de la Sierra, Puna Meridional Argentina. Relaciones de la Sociedad Argentina de Antropologia, Tomo XXVI, 215-241.;;;;;;;;;;;;;;;;;;
Los Toldos;Pat ;-47,3666;-68,9666;7260;350;FRA-96;charcoal;Orquera, L. A. (1987). Advances in the archaeology of the Pampa and Patagonia. Advances in Word Archaeology. Comp Wendorf, F. Close, A. Volume 6. Academic Press, Princeton.;;;;;;;;;;;;;;;;;;
Quebrada Seca 3;S. Andes;-26,0833;-67,4166;7220;100;SMU 2364;charcoal;Grosjean, M., Santoro, C., Thompson, L. G., Nunez, L., Standen, V. (2007). Climate and culture change in South Central Andes. In Climate change and cultural dynamics: a global perspective on Mid-Holocene transitions. Eds Anderson, D. G., Maasch, K. A., Sandweiss, D. H. pp51-115. Elsevier Academic Press, London.;;;;;;;;;;;;;;;;;;
Gruta de El Manzano;Pat ;-36,15;-69,7666;7190;130;GaK 7531;charcoal;Prates, L., Politis, G., Steele, J. (2013). Radiocarbon chronology of the early human occupation of Argentina. 301, 104-122.;;;;;;;;;;;;;;;;;;
La Olla 4;Pampas;-38,989567;-61,352267;7176;91;AA-80665;Otaridae bone;Fontana, S. 2007. Radiocarbon chronologies of Holocene lacustrine sediments from the Southern Coast of Buenos Aires Province, Argentina. Radiocarbon 49: 103-116.;;;;;;;;;;;;;;;;;;
Arroyo El Gaucho 1;Pampas;-31,6833;-63,2491;7160;90;LP 1722;charcoal;Medina, M., Rivero, D. (2007). Zooarqueologia, Lama guanicoe y dinamica evolutiva del Chaco Serrano. Mundo de Antes, 5, 211-234.;;;;;;;;;;;;;;;;;;
Cueva Maripe;Pat ;-47,8513;-68,9341;7153;50;AA99069;charcoal;Miotti, L., Marchionni, L., Mosquera, B., Hermo, D. O., & Ceraso, A. (2014). Fechados radiocarbónicos y delimitación temporal de los conjuntos arqueológicos de Cueva Maripe, Santa Cruz (Argentina). Relaciones de la Sociedad Argentina de Antropología, ;;;;;;;;;;;;;;;;;;
Quebrada Seca 3;S. Andes;-26,0833;-67,4166;7130;110;LP 269;charcoal;Grosjean, M., Santoro, C., Thompson, L. G., Nunez, L., Standen, V. (2007). Climate and culture change in South Central Andes. In Climate change and cultural dynamics: a global perspective on Mid-Holocene transitions. Eds Anderson, D. G., Maasch, K. A., Sandweiss, D. H. pp51-115. Elsevier Academic Press, London.;;;;;;;;;;;;;;;;;;
Monte Hermoso 1;Pampas;-38,989369;-61,350731;7125;75;AA-7974;plant;Politis, G. G., Scabuzzo, C., Tykot, R. (2009). An approach to prehispanic diets in the pampas during early/middle Holocene. International Journal of Osteoarchaeology, 19, 208-266.;;;;;;;;;;;;;;;;;;
Gruta de El Manzano;Pat ;-36,15;-69,7666;7110;180;GaK 7530;charcoal;Prates, L., Politis, G., Steele, J. (2013). Radiocarbon chronology of the early human occupation of Argentina. 301, 104-122.;;;;;;;;;;;;;;;;;;
El Alto 3;Pampas;-31,3988;-64,7388;7108;74;AA-68145;charcoal;Prates, L., Politis, G., Steele, J. (2013). Radiocarbon chronology of the early human occupation of Argentina. 301, 104-122.;;;;;;;;;;;;;;;;;;
Cueva El Peñoncito;S. Andes;-29,7666;-68,9;7080;60;CSIC 463;charcoal;Berberian, E., Calandra, A. (1984). Investigaciones arqueologicas en la cueva del Penoncito, San Juan, Republica Argentina. Revista del Museo de La Plata, NUeva Serie VIII, Seccion Antropologia, La Plata, Argentina.;;;;;;;;;;;;;;;;;;
Gruta de El Manzano;Pat ;-36,15;-69,7666;7070;170;GaK 7532;charcoal;Prates, L., Politis, G., Steele, J. (2013). Radiocarbon chronology of the early human occupation of Argentina. 301, 104-122.;;;;;;;;;;;;;;;;;;
Cerro Casa de Piedra 7;Pat ;-47,883333;-72,083333;7060;105;LP-397;charcoal;Prates, L., Politis, G., Steele, J. (2013). Radiocarbon chronology of the early human occupation of Argentina. 301, 104-122.;;;;;;;;;;;;;;;;;;
Cueva Epullan Grande;Pat ;-40,3891;-70,1944;7060;120;Beta-41622;charcoal;Prates, L., Politis, G., Steele, J. (2013). Radiocarbon chronology of the early human occupation of Argentina. 301, 104-122.;;;;;;;;;;;;;;;;;;
La Olla 1;Pampas;-38,989567;-61,351067;7040;55;NSRL 11046;plant;Blasi, A., Politis, G., Bayon, C. (2013). Palaeoenvironmental reconstruction of La Olla, a Holocene archaeological site in the Pampean coast (Argentina). Journal of Archaeological Science, 40, 1554-1567.;;;;;;;;;;;;;;;;;;
Monte Hermoso 1;Pampas;-38,989369;-61,350731;7030;100;LP-271;bone;Politis, G. G., Scabuzzo, C., Tykot, R. (2009). An approach to prehispanic diets in the pampas during early/middle Holocene. International Journal of Osteoarchaeology, 19, 208-266.;;;;;;;;;;;;;;;;;;
Laguna El Doce;Pampas;-33,908333;-62,161944;7026;58;AA-89914;bone;Avila, J. D. (2011). Resultados de los fechados radiocarbonicos del sitio LED, Departmento General López, Provincia de Santa Fe. Relaciones de la Sociedad Argentina de Antropologia, 36, 337-343.;;;;;;;;;;;;;;;;;;
Cueva Haichol;Pat ;-38,5833;-70,6666;7020;120;AC 11;charcoal;Orquera, L. A. (1987). Advances in the archaeology of the Pampa and Patagonia. Advances in Word Archaeology. Comp Wendorf, F. Close, A. Volume 6. Academic Press, Princeton.;;;;;;;;;;;;;;;;;;
Arroyo Chocori;Pampas;-38,21551;-58,216824;7010;60;CAMS-16593;bone;Martinez, G., Prates, L., Flensborg, G., Stoessel, L., Alcaraz, A. P., Bayala, P. (2015). Radiocarbon trends in the Pampean region (Argentina). Biases and demographic patterns during the final Late Pleistocene and Holocene. Quaternary International, 356, 89-110.;;;;;;;;;;;;;;;;;;
La Moderna;Pampas;-37,134444;-60,0763;7010;100;TO-1507-1;bone;Prates, L., Politis, G., Steele, J. (2013). Radiocarbon chronology of the early human occupation of Argentina. 301, 104-122.;;;;;;;;;;;;;;;;;;
Cueva Bautista, AL03;S. Andes;-21,36014;-67,634539;10917;69;AA84158;charcoal;Albarracin-Jordan, J. (2007). La formacion del estado Prehispanico en los Andes: Origen y desarrollo de la sociedad segmentaria indigena. Fundacion Bartolome de las Casas, La Paz.;;;;;;;;;;;;;;;;;;
SM1;Trop. Lowlands;-14,788163;-64,644784;9420;50;Poz-36135;charcoal;Lombardo, U., Szabo, K., Capriles, J. M., May, J-H., Amelung, W., Hutterer, R., Lehndorff, E., Plotzki, A., Veit, H. (2013). Early and MIddle Holocene hunter-gatherer occupations in Western Amazonia: the hidden shell middens. PLOS One, DOI: 10.1371/journal.pone.0072746;;;;;;;;;;;;;;;;;;
SM1;Trop. Lowlands;-14,788163;-64,644784;9270;60;Poz-34301;soil;Lombardo, U., Szabo, K., Capriles, J. M., May, J-H., Amelung, W., Hutterer, R., Lehndorff, E., Plotzki, A., Veit, H. (2013). Early and MIddle Holocene hunter-gatherer occupations in Western Amazonia: the hidden shell middens. PLOS One, DOI: 10.1371/journal.pone.0072746;;;;;;;;;;;;;;;;;;
KCH20;S. Andes;-17,988291;-67,1841;8273;82;AA91568;collagen;Capriles, J., Albarracín-Jordan, J., Bird, D., Goldstein, S., Jarpa, G. , Calla Maldonado, S. & Santoro, C. 2018. Movility, subsistence, and technological strategies of early Holocene hunter gatherers in the Bolivian Altiplano.  Quaternary International 473, 190-205.;;;;;;;;;;;;;;;;;;
KCH20;S. Andes;-17,988291;-67,1841;8105;92;AA91569;collagen;Capriles, J., Albarracín-Jordan, J., Bird, D., Goldstein, S., Jarpa, G. , Calla Maldonado, S. & Santoro, C. 2018. Movility, subsistence, and technological strategies of early Holocene hunter gatherers in the Bolivian Altiplano.  Quaternary International 473, 190-205.;;;;;;;;;;;;;;;;;;
SM3;Trop. Lowlands;-14,727075;-64,67637;7790;80;Poz-38866;charcoal;Lombardo, U., Szabo, K., Capriles, J. M., May, J-H., Amelung, W., Hutterer, R., Lehndorff, E., Plotzki, A., Veit, H. (2013). Early and MIddle Holocene hunter-gatherer occupations in Western Amazonia: the hidden shell middens. PLOS One, DOI: 10.1371/journal.pone.0072746;;;;;;;;;;;;;;;;;;
San Lucas, SL79;S. Andes;-20,065371;-65,096698;7041;60;OZK824;charcoal;Casanovas, C. R., Maldonado, S. C. (2011). Cazadores recolectores del periodo Arcaico en los valles y serranias de la region de San Lucas, Chuquisaca, Bolivia. Chungara (Arica), 43, 433-454.;;;;;;;;;;;;;;;;;;
Abrigo Jibóia;C/E Bra;unknown;unknown;7260;50;Beta-249103;charcoal;Bueno personal comunication;;;;;;;;;;;;;;;;;;
Abrigo Jibóia;C/E Bra;unknown;unknown;7220;50;Beta-249104;charcoal;Bueno personal comunication;;;;;;;;;;;;;;;;;;
Abrigo Pilao;C/E Bra;-11,261563;-42,018393;9650;90;Beta-10015;charcoal;Lima-Ribeiro, M. S., Diniz-Filho, J. A. F. (2013). American megafaunal extinctions and human arrival: improved evaluation using a meta-analytic approach. Quaternary International, 299, 38-52.;;;;;;;;;;;;;;;;;;
Abrigo Pilao;C/E Bra;-11,261563;-42,018393;9610;90;Beta-10015;charcoal;Bueno, L., Dias, A. S., Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;;;;;;;;;;;;;;;;;;
Abrigo Pilao;C/E Bra;-11,261563;-42,018393;9450;90;Beta-10605;charcoal;Bueno, L., Dias, A. S., Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;;;;;;;;;;;;;;;;;;
Abrigo Pilao;C/E Bra;-11,261563;-42,018393;9390;90;Beta-10017;charcoal;Bueno, L., Dias, A. S., Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;;;;;;;;;;;;;;;;;;
Abrigo Pilao;C/E Bra;-11,261563;-42,018393;8860;115;SI-5565;charcoal;Bueno, L., Dias, A. S., Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;;;;;;;;;;;;;;;;;;
ACH-LP1;C/E Bra;-30,501394;-56,281857;8370;60;Beta-236422;charcoal;Bueno, L., Dias, A. S., Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;;;;;;;;;;;;;;;;;;
ACH-LP1;C/E Bra;-30,501394;-56,281857;8270;70;Beta-236423;charcoal;Bueno, L., Dias, A. S., Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;;;;;;;;;;;;;;;;;;
Baixao do Perna I;C/E Bra;-8,854;-42,607778;9540;170;Gif-5414;charcoal;Borrerro, L. (1996). The Pleistocene-Holocene transition in Southern South America. In: Humans at the end of the Ice Age. Eds Straus, L., Eriksen, B., Erlandson, J., Yesner, D. Plenun Press, New York, pp 52-75.;;;;;;;;;;;;;;;;;;
Baixao do Perna I;C/E Bra;-8,854;-42,607778;9250;160;MC-1056;charcoal;Schmitz, P.I., 1987. Prehistoric hunteregatherers of Brazil. Journal of World Prehistory 1, 53-125;;;;;;;;;;;;;;;;;;
Baixao do Perna I;C/E Bra;-8,854;-42,607778;7350;180;Beta-20700;charcoal;Etchevarne, C. (2000). A ocupacao humana do Nordeste brasileiro antes da colonizacao portugesa. Revista USP, 44, 112-141.;;;;;;;;;;;;;;;;;;
Baixao do Perna I;C/E Bra;-8,854;-42,607778;7010;170;Gif-7741;charcoal;Etchevarne, C. (2000). A ocupacao humana do Nordeste brasileiro antes da colonizacao portugesa. Revista USP, 44, 112-141.;;;;;;;;;;;;;;;;;;
Boa Vista I;C/E Bra;-8,62;-43,363;10530;110;Beta-32971;charcoal;Bueno, L., Dias, A. S., Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;;;;;;;;;;;;;;;;;;
Boa Vista I;C/E Bra;-8,62;-43,363;9730;140;Gif-4629;charcoal;Bueno, L., Dias, A. S., Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;;;;;;;;;;;;;;;;;;
Boa Vista I;C/E Bra;-8,62;-43,363;9650;100;Beta-32972;charcoal;Bueno, L., Dias, A. S., Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;;;;;;;;;;;;;;;;;;
Boa Vista I;C/E Bra;-8,62;-43,363;9160;170;Gif-5864;charcoal;Bueno, L., Dias, A. S., Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;;;;;;;;;;;;;;;;;;
Boa Vista II;C/E Bra;-8,644;-42,3808;9850;120;MC-2513;charcoal;Bueno, L., Dias, A. S., Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;;;;;;;;;;;;;;;;;;
Boa Vista II;C/E Bra;-8,644;-42,3808;9700;120;MC-2481;charcoal;Bueno, L., Dias, A. S., Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;;;;;;;;;;;;;;;;;;
Boqueirao da Pedra Furada;C/E Bra;-8,85;-42,555556;10454;114;FZ-430;charcoal;Bueno, L., Dias, A. S., Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;;;;;;;;;;;;;;;;;;
Boqueirao da Pedra Furada;C/E Bra;-8,85;-42,555556;10400;180;Gif-5862;charcoal;Bueno, L., Dias, A. S., Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;;;;;;;;;;;;;;;;;;
Boqueirao da Pedra Furada;C/E Bra;-8,85;-42,555556;10050;80;Gif-8352;charcoal;Bueno, L., Dias, A. S., Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;;;;;;;;;;;;;;;;;;
Boqueirao da Pedra Furada;C/E Bra;-8,85;-42,555556;10040;80;Gif-8389;charcoal;Bueno, L., Dias, A. S., Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;;;;;;;;;;;;;;;;;;
Boqueirao da Pedra Furada;C/E Bra;-8,85;-42,555556;9800;60;Gif-8351;charcoal;Bueno, L., Dias, A. S., Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;;;;;;;;;;;;;;;;;;
Boqueirao da Pedra Furada;C/E Bra;-8,85;-42,555556;9506;135;FZ-436;charcoal;Bueno, L., Dias, A. S., Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;;;;;;;;;;;;;;;;;;
Boqueirao da Pedra Furada;C/E Bra;-8,85;-42,555556;8600;60;Gif-8350;charcoal;Bueno, L., Dias, A. S., Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;;;;;;;;;;;;;;;;;;
Boqueirao da Pedra Furada;C/E Bra;-8,85;-42,555556;8450;80;Gif-6162;charcoal;Bueno, L., Dias, A. S., Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;;;;;;;;;;;;;;;;;;
Boqueirao da Pedra Furada;C/E Bra;-8,85;-42,555556;8170;90;Beta-15435;charcoal;Bueno, L., Dias, A. S., Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;;;;;;;;;;;;;;;;;;
Boqueirao da Pedra Furada;C/E Bra;-8,85;-42,555556;8170;80;Gif-6436;charcoal;Bueno, L., Dias, A. S., Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;;;;;;;;;;;;;;;;;;
Boqueirao da Pedra Furada;C/E Bra;-8,85;-42,555556;8080;120;Gif-6157;charcoal;Bueno, L., Dias, A. S., Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;;;;;;;;;;;;;;;;;;
Boqueirao da Pedra Furada;C/E Bra;-8,85;-42,555556;8050;170;Gif-4635;charcoal;Borrerro, L. (1996). The Pleistocene-Holocene transition in Southern South America. In: Humans at the end of the Ice Age. Eds Straus, L., Eriksen, B., Erlandson, J., Yesner, D. Plenun Press, New York, pp 52-75.;;;;;;;;;;;;;;;;;;
Boqueirao da Pedra Furada;C/E Bra;-8,85;-42,555556;7750;80;Gif-6161;charcoal;Etchevarne, C. (2000). A ocupacao humana do Nordeste brasileiro antes da colonizacao portugesa. Revista USP, 44, 112-141.;;;;;;;;;;;;;;;;;;
Boqueirao da Pedra Furada;C/E Bra;-8,85;-42,555556;7640;160;Gif-4928;charcoal;Etchevarne, C. (2000). A ocupacao humana do Nordeste brasileiro antes da colonizacao portugesa. Revista USP, 44, 112-141.;;;;;;;;;;;;;;;;;;
Boqueirao da Pedra Furada;C/E Bra;-8,85;-42,555556;7230;80;Gif-7242;charcoal;Etchevarne, C. (2000). A ocupacao humana do Nordeste brasileiro antes da colonizacao portugesa. Revista USP, 44, 112-141.;;;;;;;;;;;;;;;;;;
Boqueirao da Pedra Furada;C/E Bra;-8,85;-42,555556;7220;80;Gif-8390;charcoal;Etchevarne, C. (2000). A ocupacao humana do Nordeste brasileiro antes da colonizacao portugesa. Revista USP, 44, 112-141.;;;;;;;;;;;;;;;;;;
Breu Branco 1;Trop. Lowlands;-3,755;-49,6219;9570;70;Beta-215041;charcoal;Bueno, L., Dias, A. S., Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;;;;;;;;;;;;;;;;;;
Breu Branco 1;C/E Bra;-3,755;-49,6219;7940;90;Beta-215040;charcoal;Caldarelli, S., Costa, F., Kern, D. Assentamentos a céu aberto de caçadores-coletores datados da transição Pleistocene Final/Holoceno Inicial no sudeste do Pará. Revista de Arqueologia, v.18:95-108;;;;;;;;;;;;;;;;;;
Breu Branco 2;C/E Bra;-3,7611;-49,565;9510;60;Beta-215042;charcoal;Bueno, L., Dias, A. S., Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;;;;;;;;;;;;;;;;;;
Caieras, Minas Gerais, Lagoa Santa;C/E Bra;-19,533333;-44,066667;9500;200;Gif-2737;charcoal;Laming-Emperaire, A. (1968). Missions archeologiques francaises au Chili Austral et au Bresil Meridional: datations de quelques sites par le radiocarbone. Journal de la Societe des Americanistes, 57, 77-99.;;;;;;;;;;;;;;;;;;
Caldeirao do Rodrigues;C/E Bra;-8,825;-42,574444;9480;170;Gif-5650;charcoal;Borrerro, L. (1996). The Pleistocene-Holocene transition in Southern South America. In: Humans at the end of the Ice Age. Eds Straus, L., Eriksen, B., Erlandson, J., Yesner, D. Plenun Press, New York, pp 52-75.;;;;;;;;;;;;;;;;;;
Caldeirao do Rodrigues;C/E Bra;-8,825;-42,574444;7610;80;Gif-6438;charcoal;Etchevarne, C. (2000). A ocupacao humana do Nordeste brasileiro antes da colonizacao portugesa. Revista USP, 44, 112-141.;;;;;;;;;;;;;;;;;;
Capelinha;C/E Bra;-24,846783;-48,239683;8795;100;A-11239;charcoal;Bueno, L., Dias, A. S., Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;;;;;;;;;;;;;;;;;;
Capivara 5;C/E Bra;-10,136;-48,437;10050;80;Beta-179196;charcoal;Bueno, L., Dias, A. S., Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;;;;;;;;;;;;;;;;;;
Capivara 5;C/E Bra;-10,136;-48,437;9850;70;Beta-160595;charcoal;Bueno, L., Dias, A. S., Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;;;;;;;;;;;;;;;;;;
Capivara 5;C/E Bra;-10,136;-48,437;9410;60;Beta-179197;charcoal;Bueno, L., Dias, A. S., Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;;;;;;;;;;;;;;;;;;
Capivara 5;C/E Bra;-10,136;-48,437;8980;70;Beta-160594;charcoal;Bueno, L., Dias, A. S., Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;;;;;;;;;;;;;;;;;;
Caverna da Pedra Pintada;Trop. Lowlands;-2,045;-54,1445;11145;135;GX-17413;plant;Roosevelt, A. C., Lima da Costa, M., Lopes Machado, C., Michab, M., Mercier, N., Valladas, H., Feathers, J., Barnett, W., Imazio da Silveira, M., Henderson, A., Silva, J., Chernoff, B., Reese, D. S., Holman, J. A., Toth, N., Schick, K. (1996). Paleoindian cave dwellers in the Amazon: the peopling of the Americas. Science, 272, 373-384.;;;;;;;;;;;;;;;;;;
Caverna da Pedra Pintada;Trop. Lowlands;-2,045;-54,1445;11110;310;GX-17406;plant;Roosevelt, A. C., Lima da Costa, M., Lopes Machado, C., Michab, M., Mercier, N., Valladas, H., Feathers, J., Barnett, W., Imazio da Silveira, M., Henderson, A., Silva, J., Chernoff, B., Reese, D. S., Holman, J. A., Toth, N., Schick, K. (1996). Paleoindian cave dwellers in the Amazon: the peopling of the Americas. Science, 272, 373-384.;;;;;;;;;;;;;;;;;;
Caverna da Pedra Pintada;Trop. Lowlands;-2,045;-54,1445;10905;295;GX-17407;plant;Roosevelt, A. C., Lima da Costa, M., Lopes Machado, C., Michab, M., Mercier, N., Valladas, H., Feathers, J., Barnett, W., Imazio da Silveira, M., Henderson, A., Silva, J., Chernoff, B., Reese, D. S., Holman, J. A., Toth, N., Schick, K. (1996). Paleoindian cave dwellers in the Amazon: the peopling of the Americas. Science, 272, 373-384.;;;;;;;;;;;;;;;;;;
Caverna da Pedra Pintada;Trop. Lowlands;-2,045;-54,1445;10875;295;GX-17414;plant;Roosevelt, A. C., Lima da Costa, M., Lopes Machado, C., Michab, M., Mercier, N., Valladas, H., Feathers, J., Barnett, W., Imazio da Silveira, M., Henderson, A., Silva, J., Chernoff, B., Reese, D. S., Holman, J. A., Toth, N., Schick, K. (1996). Paleoindian cave dwellers in the Amazon: the peopling of the Americas. Science, 272, 373-384.;;;;;;;;;;;;;;;;;;
Caverna da Pedra Pintada;Trop. Lowlands;-2,045;-54,1445;10683;80;NZA-9898;seed;Roosevelt, A. C., Lima da Costa, M., Lopes Machado, C., Michab, M., Mercier, N., Valladas, H., Feathers, J., Barnett, W., Imazio da Silveira, M., Henderson, A., Silva, J., Chernoff, B., Reese, D. S., Holman, J. A., Toth, N., Schick, K. (1996). Paleoindian cave dwellers in the Amazon: the peopling of the Americas. Science, 272, 373-384.;;;;;;;;;;;;;;;;;;
Caverna da Pedra Pintada;Trop. Lowlands;-2,045;-54,1445;10655;285;GX-17420;plant;Roosevelt, A. C., Lima da Costa, M., Lopes Machado, C., Michab, M., Mercier, N., Valladas, H., Feathers, J., Barnett, W., Imazio da Silveira, M., Henderson, A., Silva, J., Chernoff, B., Reese, D. S., Holman, J. A., Toth, N., Schick, K. (1996). Paleoindian cave dwellers in the Amazon: the peopling of the Americas. Science, 272, 373-384.;;;;;;;;;;;;;;;;;;
Caverna da Pedra Pintada;Trop. Lowlands;-2,045;-54,1445;10560;60;Beta-76953;plant;Roosevelt, A. C., Lima da Costa, M., Lopes Machado, C., Michab, M., Mercier, N., Valladas, H., Feathers, J., Barnett, W., Imazio da Silveira, M., Henderson, A., Silva, J., Chernoff, B., Reese, D. S., Holman, J. A., Toth, N., Schick, K. (1996). Paleoindian cave dwellers in the Amazon: the peopling of the Americas. Science, 272, 373-384.;;;;;;;;;;;;;;;;;;
Caverna da Pedra Pintada;Trop. Lowlands;-2,045;-54,1445;10510;60;GX-19524;plant;Roosevelt, A. C., Lima da Costa, M., Lopes Machado, C., Michab, M., Mercier, N., Valladas, H., Feathers, J., Barnett, W., Imazio da Silveira, M., Henderson, A., Silva, J., Chernoff, B., Reese, D. S., Holman, J. A., Toth, N., Schick, K. (1996). Paleoindian cave dwellers in the Amazon: the peopling of the Americas. Science, 272, 373-384.;;;;;;;;;;;;;;;;;;
Caverna da Pedra Pintada;Trop. Lowlands;-2,045;-54,1445;10490;80;GX-19541;plant;Roosevelt, A. C., Lima da Costa, M., Lopes Machado, C., Michab, M., Mercier, N., Valladas, H., Feathers, J., Barnett, W., Imazio da Silveira, M., Henderson, A., Silva, J., Chernoff, B., Reese, D. S., Holman, J. A., Toth, N., Schick, K. (1996). Paleoindian cave dwellers in the Amazon: the peopling of the Americas. Science, 272, 373-384.;;;;;;;;;;;;;;;;;;
