Site_Name;Region;Latitude;Longitude;C14_date;Error;Lab_Number;Material_Dated;Full Reference;;;;;;;;;;;;;;;;;;
Piedra Museo AEP-1;Pat ;-47,895;-67,867778;10925;65;OxA8528;bone;Miotti, L. L., Salemme, M., Flegenheimer, N. (2003). Where the south winds blow: ancient evidence of paleo-south Americans. College Station, USA: Texas A&M University Press.;;;;;;;;;;;;;;;;;;
Cerro Tres Tetas 1;Pat ;-48,149444;-68,933;10915;65;OxA-9244;charcoal;Lima-Ribeiro, M. S., Diniz-Filho, J. A. F. (2013). American megafaunal extinctions and human arrival: improved evaluation using a meta-analytic approach. Quaternary International, 299, 38-52.;;;;;;;;;;;;;;;;;;
Cerro Tres Tetas 1;Pat ;-48,149444;-68,933;10853;70;AA-39366;charcoal;Miotti, L., Salemme, M. C. (2003). When Patagonia was colonized: people mobility at high latitudes during Pleistocene-Holocene transition. Quaternary International, 109, 95-111.;;;;;;;;;;;;;;;;;;
Cerro Tres Tetas 1;Pat ;-48,149444;-68,933;10850;150;LP-781;charcoal;Lima-Ribeiro, M. S., Diniz-Filho, J. A. F. (2013). American megafaunal extinctions and human arrival: improved evaluation using a meta-analytic approach. Quaternary International, 299, 38-52.;;;;;;;;;;;;;;;;;;
La Gruta 1;Pat ;-48,8261;-69,3961;10845;61;AA 84224;charcoal;Brook, G. A., Mancini, M. V., Franco, N. V., Bamonte, F., Ambrustolo, P. (2013). An examination of possible relationships between paleoenvironmental conditions during the Pleistocene-Holocene transition and human occupation of southern Patagonia (Argentina) east of the Andes, between 46 and 52 S. Quaternary International, 305, 104-118.;;;;;;;;;;;;;;;;;;
La Gruta 1;Pat ;-48,8261;-69,3961;10840;62;AA 84223;charcoal;Brook, G. A., Mancini, M. V., Franco, N. V., Bamonte, F., Ambrustolo, P. (2013). An examination of possible relationships between paleoenvironmental conditions during the Pleistocene-Holocene transition and human occupation of southern Patagonia (Argentina) east of the Andes, between 46 and 52 S. Quaternary International, 305, 104-118.;;;;;;;;;;;;;;;;;;
Cerro La China 1;Pampas;-37,95;-58,616667;10804;75;AA-8953;charcoal;Flegenheimer, N., Zarate, M. (1997). Considerations on radiocarbon and calibrated dates from Cerro La China and Cerro El Sombrero, Argetina. Current Research in the Pleistocene, 14, 27-28.;;;;;;;;;;;;;;;;;;
La Gruta 1;Pat ;-48,8261;-69,3961;10790;30;UGAMS 7538;charcoal;Mosquera, B. 2018. Análisis de la información radiocarbónica de sitios arqueológicos del Macizo del Deseado, provincia de Santa Cruz, Argentina. Intersecciones en Antropología 19, 25-36;;;;;;;;;;;;;;;;;;
Cerro La China 1;Pampas;-37,95;-58,616667;10790;120;AA-1327;charcoal;Flegenheimer, N., Zarate, M. (1997). Considerations on radiocarbon and calibrated dates from Cerro La China and Cerro El Sombrero, Argetina. Current Research in the Pleistocene, 14, 27-28.;;;;;;;;;;;;;;;;;;
Cerro La China 1;Pampas;-37,95;-58,616667;10745;75;AA-8952;charcoal;Flegenheimer, N., Zarate, M. (1997). Considerations on radiocarbon and calibrated dates from Cerro La China and Cerro El Sombrero, Argetina. Current Research in the Pleistocene, 14, 27-28.;;;;;;;;;;;;;;;;;;
