upper_age,lower_age,depth (cm),LOI 375,EM1,EM2,EM3,EM4
31657.277,31704.22535,286,0.117,0.033,0.359,0.094,0.397
31704.22535,31751.17371,287,0.131,0.021,0.441,0.092,0.314
31751.17371,31798.12207,288,0.130,0.051,0.423,0.076,0.320
31798.12207,31845.07042,289,0.127,0.060,0.434,0.090,0.289
31845.07042,31892.01878,290,0.111,0.062,0.385,0.135,0.308
31892.01878,31938.96714,291,0.116,0.055,0.356,0.127,0.345
31938.96714,31985.91549,292,0.130,0.037,0.343,0.123,0.368
31985.91549,32032.86385,293,0.143,0.019,0.331,0.118,0.389
32032.86385,32079.81221,294,0.140,0.000,0.361,0.103,0.397
32079.81221,32126.76056,295,0.138,0.000,0.341,0.132,0.389
32126.76056,32173.70892,296,0.144,0.000,0.319,0.160,0.377
32173.70892,32220.65728,297,0.131,0.001,0.345,0.160,0.363
32220.65728,32267.60563,298,0.128,0.024,0.325,0.181,0.342
32267.60563,32314.55399,299,0.118,0.006,0.325,0.233,0.319
32314.55399,32361.50235,300,0.125,0.023,0.301,0.270,0.281
32361.50235,32408.4507,301,0.111,0.010,0.453,0.000,0.426
32408.4507,32455.39906,302,0.116,0.008,0.507,0.047,0.321
32455.39906,32502.34742,303,0.143,0.032,0.295,0.136,0.394
32502.34742,32549.29577,304,0.140,0.058,0.224,0.179,0.398
32549.29577,32596.24413,305,0.138,0.091,0.310,0.128,0.334
32596.24413,32643.19249,306,0.144,0.137,0.281,0.253,0.186
32643.19249,32690.14085,307,0.131,0.123,0.448,0.080,0.218
32690.14085,32737.0892,308,0.128,0.122,0.344,0.267,0.139
32737.0892,32784.03756,309,0.118,0.195,0.367,0.148,0.172
32784.03756,32830.98592,310,0.125,0.236,0.310,0.192,0.137
32830.98592,32877.93427,311,0.131,0.316,0.288,0.216,0.049
32877.93427,32924.88263,312,0.136,0.339,0.366,0.109,0.051
32924.88263,32971.83099,313,0.141,0.465,0.260,0.078,0.056
32971.83099,33018.77934,314,0.146,0.282,0.180,0.392,0.000
33018.77934,33065.7277,315,0.151,0.193,0.151,0.453,0.051
33065.7277,33112.67606,316,0.157,0.004,0.381,0.121,0.337
33112.67606,33159.62441,317,0.162,0.000,0.374,0.093,0.371
33159.62441,33206.57277,318,0.167,0.000,0.337,0.067,0.430
33206.57277,34145.53991,319,0.172,0.001,0.238,0.122,0.467
34145.53991,34192.48826,339,0.177,0.008,0.357,0.000,0.457
34192.48826,34239.43662,340,0.199,0.060,0.391,0.000,0.351
34239.43662,34286.38498,341,0.219,0.000,0.460,0.000,0.321
34286.38498,34333.33333,342,0.195,0.084,0.414,0.000,0.306
34333.33333,34380.28169,343,0.191,0.192,0.248,0.369,0.000
34380.28169,34427.23005,344,0.218,0.000,0.366,0.211,0.205
34427.23005,34474.1784,345,0.229,0.026,0.367,0.213,0.164
34474.1784,34521.12676,346,0.230,0.050,0.395,0.325,0.000
34521.12676,34568.07512,347,0.286,0.069,0.390,0.254,0.000
34568.07512,34615.02347,348,0.292,0.130,0.454,0.124,0.000
34615.02347,34661.97183,349,0.272,0.154,0.456,0.118,0.000
34661.97183,34708.92019,350,0.308,0.150,0.395,0.146,0.000
34708.92019,34755.86854,351,0.335,0.126,0.394,0.144,0.000
34755.86854,34802.8169,352,0.290,0.084,0.437,0.189,0.000
34802.8169,34849.76526,353,0.231,0.101,0.420,0.248,0.000
34849.76526,34896.71362,354,0.217,0.000,0.369,0.414,0.000
34896.71362,34943.66197,355,0.192,0.003,0.510,0.295,0.000
34943.66197,34990.61033,356,0.166,0.000,0.561,0.190,0.083
34990.61033,35037.55869,357,0.139,0.000,0.534,0.327,0.000
35037.55869,35084.50704,358,0.113,0.000,0.585,0.168,0.135
35084.50704,35131.4554,359,0.111,0.004,0.549,0.336,0.000
35131.4554,35178.40376,360,0.103,0.000,0.532,0.365,0.000
35178.40376,35225.35211,361,0.089,0.000,0.535,0.376,0.000
35225.35211,35272.30047,362,0.090,0.000,0.577,0.333,0.000
35272.30047,35319.24883,363,0.087,0.000,0.581,0.331,0.000
35319.24883,35366.19718,364,0.081,0.009,0.551,0.358,0.000
35366.19718,35413.14554,365,0.078,0.031,0.556,0.335,0.000
35413.14554,35460.0939,366,0.071,0.017,0.548,0.364,0.000
35460.0939,35507.04225,367,0.071,0.093,0.521,0.315,0.000
35507.04225,35553.99061,368,0.069,0.015,0.549,0.367,0.000
35553.99061,35600.93897,369,0.067,0.042,0.519,0.372,0.000
35600.93897,35647.88732,370,0.068,0.041,0.518,0.372,0.000
35647.88732,35694.83568,371,0.068,0.036,0.598,0.162,0.137
35694.83568,35741.78404,372,0.059,0.204,0.363,0.374,0.000
35741.78404,35788.73239,373,0.055,0.207,0.376,0.362,0.000
35788.73239,35835.68075,374,0.057,0.205,0.482,0.093,0.162
35835.68075,35882.62911,375,0.054,0.223,0.461,0.099,0.163
35882.62911,35929.57746,376,0.054,0.291,0.333,0.322,0.000
35929.57746,35976.52582,377,0.049,0.391,0.276,0.284,0.000
35976.52582,36023.47418,378,0.047,0.499,0.197,0.256,0.000
36023.47418,36070.42254,379,0.048,0.485,0.208,0.258,0.000
36070.42254,36117.37089,380,0.046,0.571,0.137,0.245,0.000
36117.37089,36164.31925,381,0.048,0.556,0.121,0.275,0.000
36164.31925,36211.26761,382,0.064,0.442,0.230,0.155,0.110
36211.26761,36258.21596,383,0.073,0.237,0.272,0.419,0.000
36258.21596,36305.16432,384,0.080,0.000,0.518,0.162,0.240
36305.16432,36352.11268,385,0.061,0.000,0.489,0.195,0.255
36352.11268,36399.06103,386,0.079,0.000,0.470,0.247,0.204
36399.06103,36446.00939,387,0.080,0.000,0.461,0.244,0.215
36446.00939,36492.95775,388,0.085,0.000,0.519,0.169,0.227
36492.95775,36539.9061,389,0.083,0.008,0.500,0.240,0.171
36539.9061,36586.85446,390,0.082,0.015,0.480,0.309,0.114
36586.85446,36633.80282,391,0.087,0.023,0.457,0.377,0.057
36633.80282,36680.75117,392,0.085,0.030,0.437,0.447,0.000
36680.75117,36727.69953,393,0.091,0.068,0.365,0.476,0.000
36727.69953,36774.64789,394,0.090,0.043,0.342,0.524,0.000
36774.64789,36821.59624,395,0.097,0.071,0.407,0.425,0.000
36821.59624,36868.5446,396,0.103,0.020,0.525,0.083,0.268
36868.5446,36915.49296,397,0.107,0.087,0.485,0.320,0.000
36915.49296,36962.44131,398,0.109,0.052,0.500,0.080,0.258
36962.44131,37009.38967,399,0.113,0.022,0.522,0.106,0.237
37009.38967,37056.33803,400,0.110,0.124,0.405,0.147,0.215
37056.33803,37103.28638,401,0.113,0.154,0.217,0.515,0.000
37103.28638,37150.23474,402,0.117,0.004,0.455,0.100,0.324
37150.23474,37197.1831,403,0.118,0.000,0.438,0.127,0.317
37197.1831,37244.13146,404,0.123,0.016,0.445,0.077,0.339
37244.13146,37291.07981,405,0.126,0.000,0.418,0.106,0.351
37291.07981,37338.02817,406,0.128,0.000,0.426,0.110,0.335
37338.02817,37384.97653,407,0.140,0.000,0.496,0.062,0.301
37384.97653,37431.92488,408,0.150,0.000,0.538,0.000,0.311
37431.92488,37478.87324,409,0.144,0.000,0.551,0.000,0.305
37478.87324,37525.8216,410,0.163,0.000,0.605,0.043,0.189
37525.8216,37572.76995,411,0.158,0.000,0.612,0.000,0.230
37572.76995,37619.71831,412,0.154,0.000,0.598,0.054,0.193
37619.71831,37666.66667,413,0.152,0.000,0.603,0.000,0.245
