depth,upper_age,lower_age,% TIC,wt %N,wt %C,wt %TOC,TC/TN,"d13C (permil, vs VPDB)"
3902,190692.31,190912.09,0.00,0.16,1.29,1.29,8.06,-27.40
3907,190912.09,191131.87,0.00,0.10,0.47,0.47,4.70,-26.48
3912,191131.87,191351.65,0.00,0.10,0.56,0.56,5.60,-26.19
3917,191351.65,191791.21,0.00,0.08,0.39,0.39,4.88,-25.92
3927,191791.21,192010.99,0.00,0.13,1.29,1.29,9.92,-26.65
3932,192010.99,192230.77,0.00,0.12,1.22,1.22,10.17,-26.98
3937,192230.77,192450.55,0.00,0.13,1.28,1.28,9.85,-26.65
3942,192450.55,192670.33,0.00,0.12,1.30,1.30,10.83,-26.55
3947,192670.33,192890.11,0.00,0.12,1.21,1.21,10.08,-26.90
3952,192890.11,193109.89,0.00,0.13,1.42,1.42,10.92,-27.01
3957,193109.89,193329.67,0.00,0.24,3.58,3.58,14.92,-27.62
3962,193329.67,193549.45,0.00,0.12,1.21,1.21,10.08,-26.41
3967,193549.45,193769.23,0.00,0.13,1.24,1.24,9.54,-26.79
3972,193769.23,193989.01,0.00,0.12,1.24,1.24,10.33,-26.65
3977,193989.01,194208.79,0.00,0.13,1.24,1.24,9.54,-26.79
3982,194208.79,194428.57,0.00,0.13,1.31,1.31,10.08,-26.79
3987,194428.57,194648.35,0.00,0.12,1.20,1.20,10.00,-26.79
3992,194648.35,194868.13,0.00,0.11,1.16,1.16,10.55,-26.81
3997,194868.13,195087.91,0.00,0.15,2.04,2.04,13.60,-27.41
4002,195087.91,195307.69,0.00,0.09,0.88,0.88,9.78,-26.99
4007,195307.69,195527.47,0.00,0.09,0.89,0.89,9.89,-27.01
4012,195527.47,195747.25,0.00,0.12,1.47,1.47,12.25,-27.09
4017,195747.25,195967.03,0.00,0.15,1.79,1.79,11.93,-27.23
4022,195967.03,196186.81,0.00,0.07,0.71,0.71,10.14,-27.55
4027,196186.81,196406.59,0.00,0.10,1.30,1.30,13.00,-26.99
4032,196406.59,196626.37,0.00,0.13,1.89,1.89,14.54,-27.03
4037,196626.37,197285.71,0.00,0.16,2.74,2.74,17.13,-27.10
4052,197285.71,197505.49,0.00,0.37,7.21,7.21,19.49,-27.65
4057,197505.49,197945.05,0.00,0.38,6.77,6.77,17.82,-27.58
4067,197945.05,198164.84,0.00,0.11,1.91,1.91,17.36,-27.11
4072,198164.84,198384.62,0.00,0.12,2.16,2.16,18.00,-27.18
4077,198384.62,198604.40,0.00,0.13,2.57,2.57,19.77,-27.15
4082,198604.40,198824.18,0.00,0.13,2.76,2.76,21.23,-27.15
4087,198824.18,199043.96,,,,,,-26.66
4092,199043.96,199263.74,0.00,0.12,2.32,2.32,19.33,-27.01
4097,199263.74,199483.52,0.00,0.12,2.11,2.11,17.58,-27.05
4102,199483.52,199703.30,0.00,0.13,2.14,2.14,16.46,-27.10
4107,199703.30,199923.08,0.00,0.13,2.18,2.18,16.77,-27.08
4112,199923.08,200142.86,0.00,0.15,2.04,2.04,13.60,-26.89
4117,200142.86,200362.64,0.00,0.14,1.78,1.78,12.71,-27.09
4122,200362.64,200582.42,0.00,0.14,1.70,1.70,12.14,-27.01
4127,200582.42,200802.20,0.00,0.14,1.73,1.73,12.36,-27.25
4132,200802.20,201021.98,0.00,0.13,1.79,1.79,13.77,-26.97
4137,201021.98,201241.76,0.13,0.15,1.19,1.06,7.07,-26.64
4142,201241.76,201461.54,0.00,0.16,1.01,1.01,6.31,-26.96
4147,201461.54,201681.32,0.00,0.16,0.77,0.77,4.81,-26.95
4152,201681.32,201901.10,0.00,0.15,0.85,0.85,5.67,-26.74
4157,201901.10,202560.44,0.00,0.16,0.93,0.93,5.81,-27.42
4172,202560.44,202780.22,0.00,0.39,7.27,7.27,18.64,-27.17
4177,202780.22,203000.00,0.00,0.29,4.87,4.87,16.79,-29.17
4182,203000.00,203222.22,0.00,0.27,3.96,3.96,14.67,-28.86
4187,203222.22,203444.44,0.00,0.28,4.55,4.55,16.25,-29.00
4192,203444.44,203666.67,0.00,0.28,4.36,4.36,15.57,-28.11
4197,203666.67,203888.89,0.00,0.37,6.88,6.88,18.59,-28.33
4202,203888.89,204111.11,0.00,0.32,4.91,4.91,15.34,-28.19
4207,204111.11,204333.33,0.00,0.31,4.83,4.83,15.58,-27.85
4212,204333.33,204555.56,0.00,0.23,3.06,3.06,13.30,-28.27
4217,204555.56,204777.78,0.00,0.27,4.04,4.04,14.96,-27.79
4222,204777.78,205000.00,0.00,0.27,4.22,4.22,15.63,-28.83
4227,205000.00,205222.22,0.00,0.24,3.03,3.03,12.63,-28.39
4232,205222.22,205444.44,0.00,0.22,2.72,2.72,12.36,-28.58
4237,205444.44,205666.67,0.00,0.24,2.92,2.92,12.17,-28.42
4242,205666.67,205888.89,0.00,0.42,7.38,7.38,17.57,-27.98
4247,205888.89,206111.11,0.00,0.68,13.28,13.28,19.53,-28.29
4252,206111.11,206333.33,0.00,1.03,23.29,23.29,22.61,-27.37
4257,206333.33,208777.78,0.00,0.83,17.94,17.94,21.61,-27.25
4312,208777.78,209000.00,0.00,0.32,6.65,6.65,20.78,-27.86
4317,209000.00,209222.22,0.00,0.44,10.64,10.64,24.18,-27.85
4322,209222.22,209444.44,0.00,0.33,7.82,7.82,23.70,-27.79
4327,209444.44,209666.67,0.00,0.58,13.74,13.74,23.69,-27.99
4332,209666.67,209888.89,0.00,0.65,14.54,14.54,22.37,-28.00
4337,209888.89,210111.11,0.00,0.52,9.21,9.21,17.71,-28.80
4342,210111.11,210333.33,0.00,0.32,3.92,3.92,12.25,-28.17
4347,210333.33,210555.56,0.00,0.32,3.92,3.92,12.25,-27.83
4352,210555.56,210777.78,0.00,0.32,3.84,3.84,12.00,-27.80
4357,210777.78,211000.00,0.00,0.29,2.88,2.88,9.93,-28.17
4362,211000.00,211222.22,0.00,0.29,3.13,3.13,10.79,-28.06
4367,211222.22,211444.44,0.00,0.25,2.39,2.39,9.56,-27.81
4372,211444.44,211666.67,0.00,0.28,3.10,3.10,11.07,-28.20
4377,211666.67,211888.89,0.00,0.22,1.98,1.98,9.00,-27.90
4382,211888.89,212111.11,0.00,0.22,2.03,2.03,9.23,-27.80
4387,212111.11,212333.33,0.00,0.24,2.23,2.23,9.29,-27.67
4392,212333.33,212555.56,0.00,0.20,1.26,1.26,6.30,-27.72
4397,212555.56,212777.78,0.00,0.19,1.05,1.05,5.53,-26.93
4402,212777.78,213000.00,0.00,0.13,1.29,1.29,9.92,-26.56
4407,213000.00,213222.22,0.00,0.14,1.41,1.41,10.07,-26.97
4412,213222.22,213444.44,0.00,0.41,7.17,7.17,17.49,-28.02
4417,213444.44,213666.67,0.00,0.45,8.78,8.78,19.51,-27.55
4422,213666.67,213888.89,0.00,0.27,3.93,3.93,14.56,-28.13
4427,213888.89,214111.11,0.00,0.22,2.26,2.26,10.27,-27.76
4432,214111.11,214333.33,0.00,0.22,1.74,1.74,7.91,-27.91
4437,214333.33,214555.56,0.00,0.23,1.63,1.63,7.09,-27.88
4442,214555.56,214777.78,0.00,0.23,1.45,1.45,6.30,-28.10
4447,214777.78,215000.00,0.00,0.20,1.04,1.04,5.20,-27.32
4452,215000.00,215222.22,0.00,0.21,1.06,1.06,5.05,-27.19
4457,215222.22,215444.44,0.00,0.23,1.40,1.40,6.09,-27.55
4462,215444.44,215666.67,0.00,0.25,1.79,1.79,7.16,-27.94
4467,215666.67,215888.89,0.00,0.25,1.96,1.96,7.84,-28.19
4472,215888.89,216111.11,0.00,0.28,2.39,2.39,8.54,-28.28
4477,216111.11,216333.33,0.00,0.27,2.25,2.25,8.33,-28.40
4482,216333.33,216555.56,0.00,0.28,2.52,2.52,9.00,-28.23
4487,216555.56,216777.78,0.00,0.29,2.82,2.82,9.72,-28.38
4492,216777.78,217000.00,0.00,0.31,3.15,3.15,10.16,-28.55
4497,217000.00,217222.22,0.00,0.32,4.26,4.26,13.31,-28.55
4502,217222.22,217444.44,0.00,0.34,4.84,4.84,14.24,-28.44
4507,217444.44,217666.67,0.00,0.34,4.61,4.61,13.56,-28.41
4512,217666.67,217888.89,0.00,0.32,4.12,4.12,12.88,-27.96
4517,217888.89,218111.11,0.00,0.29,3.27,3.27,11.28,-27.83
4522,218111.11,218333.33,0.00,0.16,1.18,1.18,7.38,-26.68
4527,218333.33,218555.56,0.00,0.18,1.41,1.41,7.83,-26.57
4532,218555.56,218777.78,0.19,0.17,1.26,1.07,6.29,-26.70
4537,218777.78,219000.00,0.00,0.19,1.45,1.45,7.63,-26.73
4542,219000.00,219222.22,0.00,0.17,1.11,1.11,6.53,-26.72
4547,219222.22,219444.44,0.00,0.14,1.29,1.29,9.21,-26.56
4552,219444.44,219666.67,0.00,0.14,1.32,1.32,9.43,-26.55
4557,219666.67,219888.89,0.00,0.16,1.62,1.62,10.13,-26.70
4562,219888.89,220111.11,0.00,0.09,1.35,1.35,15.00,-25.89
4567,220111.11,220333.33,0.00,0.13,2.61,2.61,20.08,-26.48
4572,220333.33,220555.56,0.39,0.13,1.86,1.47,11.31,-26.44
4577,220555.56,220777.78,0.11,0.15,1.90,1.79,11.93,-26.73
4582,220777.78,221000.00,0.00,0.16,2.18,2.18,13.63,-26.72
4587,221000.00,221222.22,0.00,0.15,2.58,2.58,17.20,-26.64
4592,221222.22,221444.44,0.00,0.14,1.62,1.62,11.57,-26.83
4597,221444.44,221666.67,0.00,0.13,1.37,1.37,10.54,-26.78
4602,221666.67,221888.89,0.00,0.15,1.88,1.88,12.53,-26.86
4607,221888.89,222111.11,0.00,0.17,1.68,1.68,9.88,-26.81
4612,222111.11,222333.33,0.00,0.24,2.15,2.15,8.96,-27.24
4617,222333.33,222555.56,0.00,0.23,1.33,1.33,5.78,-27.92
4622,222555.56,222777.78,0.00,0.25,1.71,1.71,6.84,-28.03
4627,222777.78,223000.00,0.00,0.27,2.07,2.07,7.67,-28.14
4632,223000.00,223223.21,0.00,0.28,2.82,2.82,10.07,-28.28
4637,223223.21,223669.64,0.00,0.30,3.58,3.58,11.93,-28.30
