depth,upper_age,lower_age,% TIC,wt %N,wt %C,wt %TOC,TC/TN,"d13C (permil, vs VPDB)"
5652,271618.89,271960.91,0.00,0.18,1.11,1.11,6.17,-26.66
5657,271960.91,272302.93,0.00,0.17,1.00,1.00,5.88,-26.59
5662,272302.93,272644.95,0.00,0.18,1.21,1.21,6.72,-26.83
5667,272644.95,272986.97,0.00,0.28,2.57,2.57,9.18,-27.54
5672,272986.97,273328.99,0.00,0.49,9.26,9.26,18.90,-27.11
5677,273328.99,273671.01,0.00,0.40,7.40,7.40,18.50,-26.89
5682,273671.01,274013.03,0.00,0.36,6.13,6.13,17.03,-26.63
5687,274013.03,274355.05,0.00,0.24,2.88,2.88,12.00,-26.79
5692,274355.05,274697.07,0.00,0.21,1.94,1.94,9.24,-26.45
5697,274697.07,275039.09,0.00,0.19,1.36,1.36,7.16,-26.59
5702,275039.09,275381.11,0.00,0.16,1.15,1.15,7.19,-26.22
5707,275381.11,275723.13,0.00,0.15,1.10,1.10,7.33,-26.21
5712,275723.13,276065.15,0.00,0.13,0.72,0.72,5.54,-26.05
5717,276065.15,277433.22,0.00,0.13,0.71,0.71,5.46,-26.12
5737,277433.22,277775.24,0.00,0.15,0.99,0.99,6.60,-25.82
5742,277775.24,278117.26,0.00,0.16,0.65,0.65,4.06,-25.71
5747,278117.26,278459.28,0.00,0.18,0.73,0.73,4.06,-25.91
5752,278459.28,279143.32,0.00,0.18,0.81,0.81,4.50,-25.82
5762,279143.32,279485.34,0.00,0.17,1.09,1.09,6.41,-25.77
5767,279485.34,279827.36,0.00,0.15,1.11,1.11,7.40,-25.71
5772,279827.36,280169.38,0.00,0.17,0.97,0.97,5.71,-25.85
5777,280169.38,280511.40,0.00,0.16,0.79,0.79,4.94,-25.86
5782,280511.40,280853.42,0.00,0.18,0.93,0.93,5.17,-26.23
5787,280853.42,281195.44,0.00,0.20,0.97,0.97,4.85,-26.25
5792,281195.44,281537.46,0.00,0.18,0.89,0.89,4.94,-26.40
5797,281537.46,281879.48,0.00,0.18,1.00,1.00,5.56,-26.28
5802,281879.48,282221.50,0.00,0.20,1.22,1.22,6.10,-26.87
5807,282221.50,282563.52,0.00,,,,,-28.26
5812,282563.52,282905.54,0.00,0.30,2.50,2.50,8.33,-28.31
5817,282905.54,283247.56,0.00,0.33,3.05,3.05,9.24,-27.97
5822,283247.56,283589.58,0.00,0.45,6.66,6.66,14.80,-27.71
5827,283589.58,,0.00,0.58,9.98,9.98,17.21,-27.87
