"negAge","deriv_mean_lower","deriv_sd_lower","deriv_mean_upper","deriv_sd_upper","deriv_mean_med","deriv_sd_med"
-244300.45,9.06036039897378e-05,0.000114195559301935,0.000126700899276926,0.000158120928867206,0.00010774139175115,0.00013427662166006
-243072.831909548,0.00010739220620361,0.000100964987306142,0.000144303615663501,0.000143680896123138,0.000126243490668397,0.000119777528330381
-241845.213819095,0.000116092807079804,8.63712910127515e-05,0.000151397852190459,0.000128767249349717,0.000134468861875562,0.000105629824323255
-240617.595728643,0.000109625059775964,7.21184672282514e-05,0.000144422172146068,0.000116794757950392,0.000128303519592825,9.18946042447445e-05
-239389.977638191,8.83677762086865e-05,5.79085909392169e-05,0.00012601591892417,0.00010511985250783,0.000108759580121274,7.85157570867175e-05
-238162.359547739,5.61584306415667e-05,5.24196196220952e-05,9.23298642080406e-05,9.50614389714851e-05,7.66645614166553e-05,6.97582595994164e-05
-236934.741457286,1.41636859804109e-05,6.00956161088519e-05,4.8263875721623e-05,9.26421684653773e-05,3.26819137229174e-05,7.36158951629902e-05
-235707.123366834,-3.65674009387775e-05,7.91984583213261e-05,-3.47463421725343e-06,0.000106684091067663,-2.01964123155588e-05,9.23060042030284e-05
-234479.505276382,-8.78103304234403e-05,0.000105709641919002,-5.55271659322517e-05,0.000132428727418079,-7.20981462627129e-05,0.000118864277318708
-233251.88718593,-0.000134419061456376,0.000130906574744065,-0.000100290441199048,0.000160680401888144,-0.000118264937963376,0.000144871492656643
-232024.269095477,-0.000171105138379987,0.000152895431838611,-0.000134113836807091,0.000184200826600571,-0.000153658388375127,0.000167281110741738
-230796.651005025,-0.000189121801813043,0.000165695327690511,-0.000152963845685337,0.00019852845203145,-0.000172746503853841,0.000181839706120949
-229569.032914573,-0.000191095930614901,0.000168921425680845,-0.000157187102258919,0.000203484526515626,-0.000175086456602866,0.00018646025445485
-228341.414824121,-0.000176823789242481,0.000160807522336005,-0.000143504279306713,0.000194716158973464,-0.000160950087183373,0.000177999179801948
-227113.796733668,-0.00014590190833346,0.000141271531379737,-0.000114393431983844,0.000174630975712649,-0.000129897468118375,0.000158631733791977
-225886.178643216,-0.000103187172538686,0.000111055750136641,-7.32201444508807e-05,0.000145623466716396,-8.7671429216396e-05,0.00012865971240629
-224658.560552764,-5.71206082917798e-05,7.58888586782095e-05,-2.64064661203196e-05,0.000109447684867227,-4.00416863896183e-05,9.17368129520699e-05
-223430.942462312,-8.02596140765864e-06,4.64583159332064e-05,2.33141459349273e-05,7.55768523388949e-05,9.23044931282797e-06,5.86639895350141e-05
-222203.324371859,4.09199699081502e-05,5.22064843331316e-05,6.93561092384482e-05,7.96394214350495e-05,5.65358478096404e-05,6.49537059768116e-05
-220975.706281407,8.15773543320709e-05,9.57911765326259e-05,0.000113219442852181,0.000123635708733442,9.867577188623e-05,0.000108730615386469
-219748.088190955,0.000113092414470003,0.000149634206753934,0.000146477105867349,0.000181321647150595,0.000131327288806414,0.000163157788596808
-218520.470100503,0.00013175808522511,0.00019762506160933,0.000165983584620959,0.000232478107957307,0.0001496382657792,0.000212748896805407
-217292.85201005,0.000133287123147379,0.000235611003998372,0.000168985281314902,0.000270787362304461,0.000152413949071934,0.000251513777129295
-216065.233919598,0.00012022948374427,0.000259077651007427,0.000157369432225718,0.000294380208819441,0.000138958670402113,0.000276718721606235
-214837.615829146,9.06969991614135e-05,0.000266701600138084,0.000128930458616259,0.000302484283304137,0.000109510640698497,0.000284710204180385
-213609.997738693,5.01891696180756e-05,0.000257271406555765,8.65317757197432e-05,0.000291756471375585,6.74080047383515e-05,0.00027422167093529
-212382.379648241,-1.482847964418e-06,0.000230318551534768,3.66068953583376e-05,0.000261687957529491,1.58990204176693e-05,0.000245592129519566
-211154.761557789,-5.54707971350821e-05,0.000189085170618887,-1.69303166743954e-05,0.000219707059674418,-3.89813465221219e-05,0.000203669164748813
-209927.143467337,-0.000106089874155533,0.000144594982995219,-6.71675422675433e-05,0.000177467604201092,-9.03672153504001e-05,0.00015832573297106
-208699.525376884,-0.000148577171344739,0.000111201209521566,-0.000108690313570446,0.000154553122199527,-0.000130595262857826,0.000127140044546302
-207471.907286432,-0.000173985911301625,0.000102011933766606,-0.000135919442924412,0.000158491277402667,-0.000156009985175747,0.000124154368680938
-206244.28919598,-0.000184191659308759,0.000117899831329162,-0.000147029949204212,0.00017858066634132,-0.000165632672697948,0.000143329060750493
-205016.671105528,-0.000176620884800582,0.000149322127143007,-0.0001414738018235,0.000200443804028727,-0.000159398856205576,0.000170550856057204
-203789.053015075,-0.00015510967488205,0.000177474543398773,-0.000121852641576262,0.000221662190443969,-0.000138857384847567,0.000194881620626792
-202561.434924623,-0.000124677805711951,0.000190751601351514,-8.9237837541429e-05,0.000230435858409677,-0.000106336633753923,0.000207236601188162
-201333.816834171,-8.16857249263154e-05,0.000185966477957868,-4.61876589206394e-05,0.000223281418140348,-6.29642232400204e-05,0.000203692480390554
-200106.198743719,-2.95358786834922e-05,0.000169273779928045,6.06556001124327e-06,0.000201976101588354,-1.21125135746755e-05,0.000185271039973049
-198878.580653266,1.89115955639974e-05,0.000142995926981816,5.5293545804009e-05,0.000173974094844067,3.82562341844877e-05,0.00015753968790335
-197650.962562814,5.9927011360404e-05,0.000114450730334244,9.91244342737896e-05,0.000149562855283322,7.99205483697258e-05,0.000130621410423102
-196423.344472362,9.07692628717863e-05,9.26992501775781e-05,0.000128204801256661,0.000137986572956724,0.000110135674585843,0.000112803232705047
-195195.72638191,0.000109427081564917,8.66026974270042e-05,0.000145917455706968,0.0001495597453917,0.000127115585424331,0.0001131306712627
-193968.108291457,0.000113024364257276,9.44356282373396e-05,0.000148308212223098,0.000166280458186481,0.000129421039429018,0.000128073024094529
-192740.490201005,0.000101836803293335,0.000107558483705159,0.000137092053868629,0.000177698293319403,0.000118807109885813,0.000141804128114558
-191512.872110553,8.0992770257233e-05,0.000112209293726179,0.000114520210719409,0.000175919834634377,9.83944356063621e-05,0.00014522656948053
-190285.254020101,5.38981375607293e-05,0.00011156075814804,8.66472560706203e-05,0.000166904679453743,6.99399808869382e-05,0.000137008727813017
-189057.635929648,2.10649181798885e-05,9.93875641140255e-05,5.26921328512984e-05,0.000146187428305839,3.64613722872839e-05,0.00012003060805352
-187830.017839196,-1.12603553876449e-05,8.83449562849495e-05,1.92909326977258e-05,0.000124550085734358,3.83783815679653e-06,0.000104823138496331
-186602.399748744,-3.67414110822148e-05,9.102582306883e-05,-7.80014336486191e-06,0.000116797973721094,-2.19464772720025e-05,0.000102241894969241
-185374.781658291,-5.24140672455986e-05,0.000101947055948667,-2.43910732962625e-05,0.000124422316277996,-3.73529469355205e-05,0.000112227957121153
-184147.163567839,-5.53140752862502e-05,0.000112963098205646,-2.68086174483912e-05,0.000139788840512653,-4.15702460747942e-05,0.000125542679140064
-182919.545477387,-4.84964134967696e-05,0.000121363137415639,-2.12735267766741e-05,0.000149563717898669,-3.31868076559288e-05,0.000135427853055731
-181691.927386935,-2.97827429840017e-05,0.000120726159196208,-1.34045841890647e-06,0.000149093823096258,-1.42557348354571e-05,0.000134293226657826
-180464.309296482,-2.7639484638718e-06,0.000109159229922262,2.63551046444139e-05,0.000138345456578978,1.25836738053474e-05,0.000122872640725253
-179236.69120603,2.8546204592163e-05,9.2485154643936e-05,5.69549697942191e-05,0.000119509954900984,4.32134902353784e-05,0.000105225576742911
-178009.073115578,5.98252525604859e-05,8.07626778469855e-05,8.78746076482132e-05,0.000109476714283256,7.3894507930859e-05,9.3613259457734e-05
-176781.455025126,8.68509229557628e-05,9.50656030071288e-05,0.000113653238755031,0.000121257981979876,0.000100455489062837,0.000106437815398096
-175553.836934673,0.000107052558546864,0.000124699918300979,0.000131079832637247,0.000149450941022612,0.000118712663488285,0.000136189466630435
-174326.218844221,0.000115623679105995,0.000154338278021219,0.000138950584966935,0.000180211727579227,0.000126492306633847,0.000166963918049417
-173098.600753769,0.000110551728307,0.000175317941870494,0.000134380833098516,0.000201993275352901,0.000122505702848663,0.000189488632856573
-171870.982663317,9.23625439084149e-05,0.000181716238922553,0.000118403095693712,0.000208372932218148,0.000106245850839404,0.000196157891564468
-170643.364572864,6.61290504206618e-05,0.000170505020651546,9.35417728119876e-05,0.000195606687012168,7.98444264339869e-05,0.000183004591483646
-169415.746482412,3.27014854459692e-05,0.000140441369987658,6.08580600130233e-05,0.000164173029628804,4.70991203244913e-05,0.000152861078731877
